seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T14:00:10.069,126,0,1,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-768.0601252211608, 643.2650914455429, 474.9270283362933, 178.70000000000002, 0.299999999999999, 53.900000000000006]",001_tag126_attempt1_fail.yaml
2,2026-09-02T14:00:10.324,126,0,2,fail,,,,"move_cart failed: MoveCart error 112 (target=[-1091.7, 892.0999999999999, 384.1, 178.70000000000002, 0.3000000000000001, 53.900000000000006])",002_tag126_attempt2_fail.yaml
3,2026-09-02T14:00:50.071,127,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 2 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),003_tag127_attempt1_fail.yaml
4,2026-09-02T14:01:40.424,127,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 4 — adjust initial pose (wait_for_tag_detection: rospy shutdown),004_tag127_attempt2_fail.yaml
5,2026-09-02T14:01:40.453,128,0,1,fail,,,,base nav to path_tag_id=128 failed,005_tag128_attempt1_fail.yaml
6,2026-09-02T14:01:40.489,128,0,2,fail,,,,base nav to path_tag_id=128 failed,006_tag128_attempt2_fail.yaml
7,2026-09-02T14:01:40.513,129,0,1,fail,,,,base nav to path_tag_id=129 failed,007_tag129_attempt1_fail.yaml
8,2026-09-02T14:01:40.535,129,0,2,fail,,,,base nav to path_tag_id=129 failed,008_tag129_attempt2_fail.yaml
9,2026-09-02T14:01:40.560,130,1,1,fail,,,,base nav to path_tag_id=130 failed,009_tag130_attempt1_fail.yaml
10,2026-09-02T14:01:40.589,130,1,2,fail,,,,base nav to path_tag_id=130 failed,010_tag130_attempt2_fail.yaml
11,2026-09-02T14:01:40.619,131,1,1,fail,,,,base nav to path_tag_id=131 failed,011_tag131_attempt1_fail.yaml
12,2026-09-02T14:01:40.651,131,1,2,fail,,,,base nav to path_tag_id=131 failed,012_tag131_attempt2_fail.yaml
