tag_id,zone,corridor,type,name,tag_x_mm,tag_y_mm,tag_z_mm,roll_deg,pitch_deg,yaw_deg,ref_tag_id,stop_x_mm,stop_y_mm,robot_heading_deg,arm_x_mm,arm_y_mm,arm_z_mm,arm_rx_deg,arm_ry_deg,arm_rz_deg,reach_tcp_m,reach_flange_m
405,A,A,MOVE,,1840.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
406,A,A,MOVE,,3230.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
407,A,A,MOVE,,3730.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
408,A,A,MOVE,,4230.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
409,A,A,MOVE,,4730.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
410,A,A,MOVE,,5230.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
411,A,A,MOVE,,5730.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
500,DOCK,A,DOCK,,-1362.3,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
501,A,B,PIVOT,Entry_B,-1160.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
502,A,C,PIVOT,Entry_C,2260.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
503,A,D,PIVOT,Entry_D,2730.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
504,A,E,PIVOT,Entry_E,6150.0,3020.0,-80.0,180.0,0.0,0.0,,,,,,,,,,,,
505,B,B,PIVOT,Exit_B,-1710.0,3570.0,-80.0,180.0,0.0,90.0,,,,,,,,,,,,
506,C,C,PIVOT,Exit_C,1710.0,2470.0,-80.0,180.0,0.0,-90.0,,,,,,,,,,,,
507,D,D,PIVOT,Exit_D,2180.0,3570.0,-80.0,180.0,0.0,90.0,,,,,,,,,,,,
508,E,E,PIVOT,Exit_E,5600.0,2470.0,-80.0,180.0,0.0,-90.0,,,,,,,,,,,,
