timestamp,success,tag_b_id,x_m,y_m,z_m,rx_deg,ry_deg,rz_deg,message,run_dir
20260902_122035,0,132,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=132 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag132_FAILED
20260902_122035,0,133,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=133 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag133_FAILED
20260902_122035,0,134,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=134 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag134_FAILED
20260902_122035,0,135,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=135 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag135_FAILED
20260902_122035,0,136,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=136 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag136_FAILED
20260902_122035,0,137,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=137 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122035_tag137_FAILED
20260902_122036,0,138,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=138 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag138_FAILED
20260902_122036,0,139,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=139 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag139_FAILED
20260902_122036,0,140,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=140 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag140_FAILED
20260902_122036,0,141,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=141 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag141_FAILED
20260902_122036,0,142,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=142 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag142_FAILED
20260902_122036,0,143,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=143 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag143_FAILED
20260902_122036,0,144,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=144 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122036_tag144_FAILED
20260902_122037,0,145,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=145 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122037_tag145_FAILED
20260902_122037,0,146,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=146 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122037_tag146_FAILED
20260902_122037,0,147,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=147 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122037_tag147_FAILED
20260902_122037,0,148,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=148 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122037_tag148_FAILED
20260902_122037,0,149,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=149 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122037_tag149_FAILED
20260902_122038,0,150,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,base nav to path_tag_id=150 failed,/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_122038_tag150_FAILED
20260902_130046,0,126,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130046_tag126_FAILED
20260902_130101,0,127,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130101_tag127_FAILED
20260902_130115,0,128,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),/home/abc/.ros/path_tag_locator/locate/20260902/run_20260902_130115_tag128_FAILED
