seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-08T13:03:17.679,126,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),001_tag126_attempt1_fail.yaml
2,2026-09-08T13:03:35.555,126,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),002_tag126_attempt2_fail.yaml
3,2026-09-08T13:04:11.759,127,0,1,ok,2.1967331871044786,-1.4472061764475443,-0.0767935144101208,,003_tag127_attempt1_ok.yaml
4,2026-09-08T13:04:40.554,128,0,1,ok,2.197681440312729,-1.0490699071410503,-0.06616203914830922,,004_tag128_attempt1_ok.yaml
5,2026-09-08T13:05:09.630,129,0,1,ok,2.202692335162578,-0.6518044754128203,-0.06765661977054284,,005_tag129_attempt1_ok.yaml
6,2026-09-08T13:05:43.074,130,1,1,ok,2.199070170880523,-0.2485903208762426,-0.07980680502045487,,006_tag130_attempt1_ok.yaml
7,2026-09-08T13:06:14.248,131,1,1,ok,2.202569780679784,0.15061486063537674,-0.07896958700646457,,007_tag131_attempt1_ok.yaml
8,2026-09-08T13:06:44.039,132,1,1,ok,2.2044372334396503,0.549670710238755,-0.07678312669085581,,008_tag132_attempt1_ok.yaml
9,2026-09-08T13:07:28.997,133,2,1,ok,2.2001271551571397,0.9490437009541983,-0.0753954912575778,,009_tag133_attempt1_ok.yaml
10,2026-09-08T13:08:01.206,134,2,1,ok,2.2029092897656932,1.3479211211890711,-0.07383879668407207,,010_tag134_attempt1_ok.yaml
11,2026-09-08T13:08:31.353,135,2,1,ok,2.203468049651817,1.7490132920495611,-0.06562030341899718,,011_tag135_attempt1_ok.yaml
12,2026-09-08T13:09:01.941,136,2,1,ok,2.204213665743242,2.155750753935463,-0.05945998289929833,,012_tag136_attempt1_ok.yaml
13,2026-09-08T13:09:35.158,137,2,1,ok,2.2095972357935505,2.55861962168371,-0.0631680368387767,,013_tag137_attempt1_ok.yaml
14,2026-09-08T13:12:55.303,138,3,1,ok,5.620506423707167,1.8610769717124516,-0.06502318341110178,,014_tag138_attempt1_ok.yaml
15,2026-09-08T13:13:12.406,139,3,1,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),015_tag139_attempt1_fail.yaml
16,2026-09-08T13:13:16.292,139,3,2,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),016_tag139_attempt2_fail.yaml
17,2026-09-08T13:13:30.993,140,3,1,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),017_tag140_attempt1_fail.yaml
18,2026-09-08T13:13:34.875,140,3,2,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),018_tag140_attempt2_fail.yaml
19,2026-09-08T13:13:53.206,141,3,1,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),019_tag141_attempt1_fail.yaml
20,2026-09-08T13:13:58.313,141,3,2,fail,,,,auto_align: tag A (id=3) not detected at iteration 1 — adjust initial pose (tag 3 not detected on /hand_cam/tag_detections within 3.0s),020_tag141_attempt2_fail.yaml
21,2026-09-08T13:14:13.618,142,4,1,fail,,,,auto_align: tag A (id=4) not detected at iteration 1 — adjust initial pose (tag 4 not detected on /hand_cam/tag_detections within 3.0s),021_tag142_attempt1_fail.yaml
22,2026-09-08T13:14:17.484,142,4,2,fail,,,,auto_align: tag A (id=4) not detected at iteration 1 — adjust initial pose (tag 4 not detected on /hand_cam/tag_detections within 3.0s),022_tag142_attempt2_fail.yaml
23,2026-09-08T13:14:35.788,143,4,1,fail,,,,auto_align: tag A (id=4) not detected at iteration 1 — adjust initial pose (tag 4 not detected on /hand_cam/tag_detections within 3.0s),023_tag143_attempt1_fail.yaml
24,2026-09-08T13:14:39.677,143,4,2,fail,,,,auto_align: tag A (id=4) not detected at iteration 1 — adjust initial pose (tag 4 not detected on /hand_cam/tag_detections within 3.0s),024_tag143_attempt2_fail.yaml
