seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-08T14:28:39.802,100,0,1,fail,,,,base nav to path_tag_id=100 failed,001_tag100_attempt1_fail.yaml
2,2026-09-08T14:28:40.155,100,0,2,fail,,,,base nav to path_tag_id=100 failed,002_tag100_attempt2_fail.yaml
3,2026-09-08T14:28:40.512,101,0,1,fail,,,,base nav to path_tag_id=101 failed,003_tag101_attempt1_fail.yaml
4,2026-09-08T14:28:40.869,101,0,2,fail,,,,base nav to path_tag_id=101 failed,004_tag101_attempt2_fail.yaml
5,2026-09-08T14:28:41.230,102,0,1,fail,,,,base nav to path_tag_id=102 failed,005_tag102_attempt1_fail.yaml
6,2026-09-08T14:28:41.592,102,0,2,fail,,,,base nav to path_tag_id=102 failed,006_tag102_attempt2_fail.yaml
7,2026-09-08T14:28:41.964,103,0,1,fail,,,,base nav to path_tag_id=103 failed,007_tag103_attempt1_fail.yaml
8,2026-09-08T14:28:42.321,103,0,2,fail,,,,base nav to path_tag_id=103 failed,008_tag103_attempt2_fail.yaml
9,2026-09-08T14:28:42.685,104,0,1,fail,,,,base nav to path_tag_id=104 failed,009_tag104_attempt1_fail.yaml
10,2026-09-08T14:28:43.044,104,0,2,fail,,,,base nav to path_tag_id=104 failed,010_tag104_attempt2_fail.yaml
11,2026-09-08T14:28:43.429,105,1,1,fail,,,,base nav to path_tag_id=105 failed,011_tag105_attempt1_fail.yaml
12,2026-09-08T14:28:43.805,105,1,2,fail,,,,base nav to path_tag_id=105 failed,012_tag105_attempt2_fail.yaml
13,2026-09-08T14:28:44.192,106,1,1,fail,,,,base nav to path_tag_id=106 failed,013_tag106_attempt1_fail.yaml
14,2026-09-08T14:28:44.572,106,1,2,fail,,,,base nav to path_tag_id=106 failed,014_tag106_attempt2_fail.yaml
15,2026-09-08T14:28:44.949,107,1,1,fail,,,,base nav to path_tag_id=107 failed,015_tag107_attempt1_fail.yaml
16,2026-09-08T14:28:45.322,107,1,2,fail,,,,base nav to path_tag_id=107 failed,016_tag107_attempt2_fail.yaml
17,2026-09-08T14:28:45.715,108,2,1,fail,,,,base nav to path_tag_id=108 failed,017_tag108_attempt1_fail.yaml
18,2026-09-08T14:28:46.092,108,2,2,fail,,,,base nav to path_tag_id=108 failed,018_tag108_attempt2_fail.yaml
19,2026-09-08T14:28:46.462,109,2,1,fail,,,,base nav to path_tag_id=109 failed,019_tag109_attempt1_fail.yaml
20,2026-09-08T14:28:46.839,109,2,2,fail,,,,base nav to path_tag_id=109 failed,020_tag109_attempt2_fail.yaml
21,2026-09-08T14:28:47.227,110,2,1,fail,,,,base nav to path_tag_id=110 failed,021_tag110_attempt1_fail.yaml
22,2026-09-08T14:28:47.601,110,2,2,fail,,,,base nav to path_tag_id=110 failed,022_tag110_attempt2_fail.yaml
23,2026-09-08T14:28:48.009,111,2,1,fail,,,,base nav to path_tag_id=111 failed,023_tag111_attempt1_fail.yaml
24,2026-09-08T14:28:48.400,111,2,2,fail,,,,base nav to path_tag_id=111 failed,024_tag111_attempt2_fail.yaml
25,2026-09-08T14:28:48.800,112,2,1,fail,,,,base nav to path_tag_id=112 failed,025_tag112_attempt1_fail.yaml
26,2026-09-08T14:28:49.185,112,2,2,fail,,,,base nav to path_tag_id=112 failed,026_tag112_attempt2_fail.yaml
27,2026-09-08T14:28:49.579,113,3,1,fail,,,,base nav to path_tag_id=113 failed,027_tag113_attempt1_fail.yaml
28,2026-09-08T14:28:49.964,113,3,2,fail,,,,base nav to path_tag_id=113 failed,028_tag113_attempt2_fail.yaml
29,2026-09-08T14:28:50.370,114,3,1,fail,,,,base nav to path_tag_id=114 failed,029_tag114_attempt1_fail.yaml
30,2026-09-08T14:28:50.777,114,3,2,fail,,,,base nav to path_tag_id=114 failed,030_tag114_attempt2_fail.yaml
31,2026-09-08T14:28:51.176,115,3,1,fail,,,,base nav to path_tag_id=115 failed,031_tag115_attempt1_fail.yaml
32,2026-09-08T14:28:51.566,115,3,2,fail,,,,base nav to path_tag_id=115 failed,032_tag115_attempt2_fail.yaml
33,2026-09-08T14:28:51.964,116,3,1,fail,,,,base nav to path_tag_id=116 failed,033_tag116_attempt1_fail.yaml
34,2026-09-08T14:28:52.354,116,3,2,fail,,,,base nav to path_tag_id=116 failed,034_tag116_attempt2_fail.yaml
35,2026-09-08T14:28:52.760,117,3,1,fail,,,,base nav to path_tag_id=117 failed,035_tag117_attempt1_fail.yaml
36,2026-09-08T14:28:53.177,117,3,2,fail,,,,base nav to path_tag_id=117 failed,036_tag117_attempt2_fail.yaml
37,2026-09-08T14:28:53.579,118,4,1,fail,,,,base nav to path_tag_id=118 failed,037_tag118_attempt1_fail.yaml
38,2026-09-08T14:28:53.973,118,4,2,fail,,,,base nav to path_tag_id=118 failed,038_tag118_attempt2_fail.yaml
39,2026-09-08T14:28:54.363,119,4,1,fail,,,,base nav to path_tag_id=119 failed,039_tag119_attempt1_fail.yaml
40,2026-09-08T14:28:54.786,119,4,2,fail,,,,base nav to path_tag_id=119 failed,040_tag119_attempt2_fail.yaml
41,2026-09-08T14:28:55.225,120,4,1,fail,,,,base nav to path_tag_id=120 failed,041_tag120_attempt1_fail.yaml
