group_id,point_id,x,y,z,rx,ry,rz,speed,comment
102,1,-1.335760071,-0.658737796,-0.272164905,2.80844161,0.955474193,-0.400832636,80,
102,2,-1.335760071,-0.687815493,-0.27949586,2.60895428,1.040719589,-0.597521066,80,
102,3,-1.335760071,-0.717001444,-0.286339565,2.90235831,0.946472017,-0.291893351,80,
102,4,-1.335760071,-0.746779029,-0.289713255,3.091325939,0.636021301,-0.083082168,80,
102,5,-1.335760071,-0.776753236,-0.290953583,3.125643267,0.428960487,-0.038258945,80,
102,6,-1.335760071,-0.806741011,-0.291809945,3.131661626,0.356395248,-0.027754265,80,
102,7,-1.335760071,-0.836731701,-0.292514582,3.13814859,0.233856119,-0.014241951,80,
102,8,-1.335760071,-0.866726419,-0.292952463,3.134303259,0.452924162,-0.016418573,80,
102,9,-1.335760071,-0.896726261,-0.293049709,3.13858636,0.391562842,-0.007631507,80,
102,10,-1.335760071,-0.92672581,-0.293209302,3.140720399,0.324826683,-0.002549199,80,
102,11,-1.335760071,-0.956725234,-0.293291507,-3.141299835,0.30409305,0.000821507,80,
102,12,-1.335760071,-0.986724659,-0.293105713,-3.140008543,0.408200496,0.003921431,80,
102,13,-1.335760071,-1.016724545,-0.293039727,-3.136874958,0.455458884,0.010597379,80,
102,14,-1.335760071,-1.046720759,-0.292693533,-3.136437297,0.32012768,0.016566649,80,
102,15,-1.335760071,-1.076715324,-0.292180329,-3.134583826,0.322573124,0.021786602,80,
102,16,-1.365760071,-1.083088634,-0.313741463,-3.12950541,0.411556313,0.030140209,80,
102,17,-1.365760071,-1.053118674,-0.315083652,-3.108041267,0.547604485,0.061953728,80,
102,18,-1.365760071,-1.02314219,-0.31626231,-3.01491763,0.815169322,0.169421068,80,
102,19,-1.365760071,-0.993147319,-0.31680004,-2.754675605,1.012321234,0.44768086,80,
102,20,-1.365760071,-0.963149954,-0.317197657,-2.65593724,1.01134156,0.556021922,80,
102,21,-1.365760071,-0.933152239,-0.317192062,-2.80844161,0.955474193,0.400832636,80,
102,22,-1.365760071,-0.903154874,-0.316794446,-2.353334655,0.976529705,0.881690614,80,
102,23,-1.365760071,-0.873160225,-0.316247542,-3.037385913,0.645864374,0.169652298,80,
102,24,-1.365760071,-0.843183905,-0.315064767,-3.125218567,0.318684754,0.050335171,80,
102,25,-1.365760071,-0.813213945,-0.313722577,-3.107320615,0.435886183,0.080782335,80,
102,26,-1.365760071,-0.783246151,-0.312335301,-3.046190292,0.669309469,0.153068927,80,
102,27,-1.365760071,-0.753324486,-0.310203195,-3.045893937,0.694379643,0.148963017,80,
102,28,-1.365760071,-0.723417211,-0.307846307,-3.060947459,0.692218559,0.125826081,80,
102,29,-1.365760071,-0.693524588,-0.305319158,-3.075680959,0.670540941,0.105759616,80,
102,30,-1.365760071,-0.663716362,-0.301983643,-3.081935672,0.652453347,0.098007459,80,
102,31,-1.365760071,-0.633970523,-0.298086961,-3.101368876,0.651437369,0.066294396,80,
102,32,-1.365760071,-0.604128837,-0.2950698,-3.10676768,0.656509665,0.057020434,80,
102,33,-1.365760071,-0.574166563,-0.293700181,-3.109553004,0.657332677,0.052408986,80,
102,34,-1.365760071,-0.544248779,-0.291480671,-3.120141862,0.655295305,0.035188843,80,
102,35,-1.365760071,-0.515684495,-0.284295613,-3.131852849,0.658019869,0.01591484,80,
102,36,-1.395760071,-0.406075509,-0.273836019,-3.14093285,0.654392346,0.001082295,80,
102,37,-1.395760071,-0.430035258,-0.291638104,3.140805739,0.654444126,-0.001290418,80,
102,38,-1.395760071,-0.459225135,-0.297172906,3.131724425,0.658070148,-0.016124133,80,
102,39,-1.395760071,-0.489143226,-0.298620187,3.119907009,0.655357048,-0.035570478,80,
102,40,-1.395760071,-0.518554278,-0.304428927,3.109513767,0.657321168,-0.052473912,80,
102,41,-1.395760071,-0.548136641,-0.3093846,3.106728536,0.656498012,-0.057085278,80,
102,42,-1.395760071,-0.577785359,-0.313954785,3.101160372,0.651148561,-0.066662409,80,
102,43,-1.395760071,-0.607550266,-0.317608671,3.076760455,0.650512129,-0.106796062,80,
102,44,-1.395760071,-0.637302313,-0.321403883,3.073890826,0.669028319,-0.108887187,80,
102,45,-1.395760071,-0.667090631,-0.324961377,3.062134095,0.712984828,-0.121112953,80,
102,46,-1.395760071,-0.696969268,-0.327640158,3.039059942,0.699599246,-0.158496373,80,
102,47,-1.395760071,-0.726877804,-0.329970297,3.041547996,0.673571206,-0.159509006,80,
102,48,-1.395760071,-0.756813274,-0.331929194,3.107403714,0.435574328,-0.080642261,80,
102,49,-1.395760071,-0.786764624,-0.333629358,3.123133548,0.333642265,-0.054300711,80,
102,50,-1.395760071,-0.816735479,-0.334941328,3.035985225,0.649268817,-0.171322275,80,
102,51,-1.395760071,-0.846711944,-0.336096423,2.353332734,0.97652856,-0.881692879,80,
102,52,-1.395760071,-0.876697923,-0.337009475,2.552727871,0.685958279,-0.811901747,80,
102,53,-1.395760071,-0.906694177,-0.337482908,2.627491345,0.774326541,-0.679244234,80,
102,54,-1.395760071,-0.936689951,-0.337986332,3.136415548,0.180446901,-0.028771527,80,
102,55,-1.395760071,-0.966686056,-0.337876746,3.087463413,0.410445732,-0.133535986,80,
102,56,-1.395760071,-0.996682329,-0.337404112,3.000383926,0.609897066,-0.243331259,80,
102,57,-1.395760071,-1.026676449,-0.33682763,3.027658746,0.622455254,-0.193768565,80,
102,58,-1.395760071,-1.05666302,-0.335931328,3.059111802,0.590716308,-0.14730585,80,
102,59,-1.395760071,-1.086639112,-0.33474097,3.053178696,0.579164807,-0.16051138,80,
104,1,-1.425760071,-1.063266898,-0.352351716,3.058868449,0.62162962,-0.141424507,80,
104,2,-1.425760071,-1.033278622,-0.353189477,3.06245613,0.623776429,-0.134942215,80,
104,3,-1.425760071,-1.003284759,-0.353774284,3.089171351,0.532456447,-0.102967204,80,
104,4,-1.425760071,-0.973288262,-0.354230344,3.098171242,0.525212382,-0.086440664,80,
104,5,-1.425760071,-0.94329324,-0.354602271,3.103979415,0.529437215,-0.074373379,80,
104,6,-1.425760071,-0.913298261,-0.354054252,3.11033804,0.532995833,-0.06145451,80,
104,7,-1.425760071,-0.883301669,-0.353602685,3.115137667,0.535434419,-0.051816511,80,
104,8,-1.425760071,-0.853311283,-0.352872964,3.121508593,0.538178604,-0.039169805,80,
104,9,-1.425760071,-0.823325494,-0.351971363,3.127497878,0.5401432,-0.027402987,80,
104,10,-1.425760071,-0.793350157,-0.350756522,3.131698315,0.541008746,-0.019210415,80,
104,11,-1.425760071,-0.763383958,-0.34934166,3.141001901,0.529220197,-0.00115936,80,
104,12,-1.425760071,-0.733435535,-0.347588288,-3.137571085,0.534032129,0.007851059,80,
104,13,-1.425760071,-0.703500943,-0.345611691,-3.131861926,0.540850088,0.018897959,80,
104,14,-1.425760071,-0.673626667,-0.342876451,-3.126800066,0.539770198,0.028778559,80,
104,15,-1.425760071,-0.643777874,-0.339886831,-3.1210703,0.537986574,0.040036751,80,
104,16,-1.425760071,-0.613937834,-0.33680015,-3.115940146,0.53590169,0.050208952,80,
104,17,-1.425760071,-0.584110374,-0.333614246,-3.110067888,0.532871358,0.061997547,80,
104,18,-1.425760071,-0.554413587,-0.329370653,-3.103701917,0.529163321,0.07495538,80,
104,19,-1.425760071,-0.524734598,-0.325017101,-3.098203505,0.52509089,0.086394816,80,
104,20,-1.425760071,-0.495192449,-0.319818434,-3.087330656,0.552564537,0.103012722,80,
104,21,-1.425760071,-0.465950265,-0.313176776,-3.059708243,0.617992652,0.140709213,80,
104,22,-1.425760071,-0.436964046,-0.305658856,-3.057686517,0.61059426,0.145660678,80,
104,23,-1.425760071,-0.408033357,-0.299934012,-3.056802549,0.574506412,0.155108927,80,
104,24,-1.425760071,-0.378272766,-0.296465883,-3.055076218,0.592945554,0.15389821,80,
104,25,-1.425760071,-0.360096961,-0.288329105,-3.029007232,0.586479723,0.201311568,80,
104,26,-1.455760071,-0.303784249,-0.277648282,-2.997226778,0.607632925,0.249345731,80,
104,27,-1.455760071,-0.32598681,-0.296213788,-3.113488439,0.317314989,0.08543957,80,
104,28,-1.455760071,-0.355679005,-0.300072902,-3.083454087,0.430370635,0.136416331,80,
104,29,-1.455760071,-0.384813448,-0.306219797,-2.583179516,0.772982315,0.729837893,80,
104,30,-1.455760071,-0.412894501,-0.316667426,-2.552727871,0.685958279,0.811901747,80,
104,31,-1.455760071,-0.442053249,-0.323671561,-2.57404827,0.58792476,0.854803289,80,
104,32,-1.455760071,-0.47117053,-0.330894237,-3.120169755,0.191614928,0.109954001,80,
104,33,-1.455760071,-0.500516517,-0.336909809,-3.068715669,0.364751569,0.202287481,80,
104,34,-1.455760071,-0.530163954,-0.341477335,-2.976137683,0.53814199,0.314947294,80,
104,35,-1.455760071,-0.559908175,-0.345364572,-3.027729478,0.520448342,0.226815882,80,
104,36,-1.455760071,-0.589703084,-0.348851591,-3.03686662,0.517038582,0.209529004,80,
104,37,-1.455760071,-0.619544757,-0.351893986,-3.04859418,0.536157241,0.1805843,80,
104,38,-1.455760071,-0.649390641,-0.354926636,-3.064540797,0.513947992,0.155692197,80,
104,39,-1.455760071,-0.679283966,-0.357449439,-3.080704465,0.474969062,0.132528923,80,
104,40,-1.455760071,-0.709185897,-0.359863655,-3.084102231,0.506217847,0.118146279,80,
104,41,-1.455760071,-0.739115346,-0.361914361,-3.085117601,0.512447403,0.114804853,80,
104,42,-1.455760071,-0.769064538,-0.363651442,-3.08984178,0.517433822,0.104339782,80,
104,43,-1.455760071,-0.799038634,-0.364890089,-3.107376946,0.447490109,0.078869226,80,
104,44,-1.455760071,-0.829017868,-0.365997412,-3.113949273,0.435000555,0.065520603,80,
104,45,-1.455760071,-0.859007827,-0.366773531,-3.118196417,0.437612844,0.055163703,80,
104,46,-1.455760071,-0.88900157,-0.367352362,-3.122707371,0.440264954,0.044291686,80,
104,47,-1.455760071,-0.918998436,-0.367785171,-3.126142649,0.441857041,0.036119064,80,
104,48,-1.455760071,-0.948995006,-0.367731553,-3.130294897,0.443326502,0.026335309,80,
104,49,-1.455760071,-0.978991511,-0.367763472,-3.134230034,0.444321503,0.017127006,80,
104,50,-1.455760071,-1.008988598,-0.367345505,-3.134897729,0.442069003,0.015607438,80,
104,51,-1.455760071,-1.038982348,-0.366757733,3.139694005,0.430193644,-0.004520934,80,
104,52,-1.455760071,-1.068972047,-0.3659719,3.133624846,0.444751857,-0.018517517,80,
104,53,-1.485760071,-1.077802067,-0.377064903,3.132144218,0.443885104,-0.021998981,80,
104,54,-1.485760071,-1.047814961,-0.377940677,3.127464637,0.442301637,-0.032999025,80,
104,55,-1.485760071,-1.017823909,-0.378650291,3.123447934,0.44073035,-0.04251542,80,
104,56,-1.485760071,-0.987827383,-0.379106846,3.120118146,0.438592921,-0.050534546,80,
104,57,-1.485760071,-0.957829619,-0.379067265,3.115669597,0.436369954,-0.06127127,80,
104,58,-1.485760071,-0.927831145,-0.379178888,3.110693081,0.432437007,-0.073622233,80,
104,59,-1.485760071,-0.897834151,-0.378934943,3.103408837,0.471633199,-0.083873013,80,
104,60,-1.485760071,-0.867837844,-0.378469612,3.091877718,0.519831144,-0.099837183,80,
104,61,-1.485760071,-0.837850057,-0.377613664,3.085266821,0.51292367,-0.114407638,80,
104,62,-1.485760071,-0.807868272,-0.37659108,3.086395125,0.498475331,-0.115159025,80,
104,63,-1.485760071,-0.777893845,-0.375353561,3.077207115,0.473450378,-0.14045206,80,
104,64,-1.485760071,-0.747932711,-0.373835799,3.055934532,0.527501111,-0.168953525,80,
104,65,-1.485760071,-0.717987888,-0.372022925,3.031378334,0.549942541,-0.208607329,80,
104,66,-1.485760071,-0.688057001,-0.369994584,3.033194567,0.493836893,-0.225623024,80,
104,67,-1.485760071,-0.658155593,-0.367572068,3.006973678,0.517325247,-0.267319508,80,
104,68,-1.485760071,-0.628268588,-0.36499588,2.964559311,0.53637404,-0.336760647,80,
104,69,-1.485760071,-0.598390005,-0.362301688,3.129146379,0.152495722,-0.081753073,80,
104,70,-1.485760071,-0.568577865,-0.358961244,3.069392533,0.34280401,-0.21112496,80,
104,71,-1.485760071,-0.538783112,-0.355485395,2.57404827,0.58792476,-0.854803289,80,
104,72,-1.485760071,-0.509059476,-0.35143568,2.553178066,0.514283076,-0.935532525,80,
104,73,-1.485760071,-0.480399461,-0.346275155,3.075613237,0.293834663,-0.221368213,80,
104,74,-1.485760071,-0.451325379,-0.339011004,3.127828192,0.149577882,-0.092110362,80,
104,75,-1.485760071,-0.421859307,-0.33337624,2.922927987,0.485994971,-0.443898165,80,
104,76,-1.485760071,-0.39265759,-0.326644858,2.981265525,0.466029494,-0.345457177,80,
104,77,-1.485760071,-0.364270082,-0.317009353,3.030610573,0.425951936,-0.263399888,80,
104,78,-1.485760071,-0.337090897,-0.304497146,3.037618923,0.393013351,-0.26601528,80,
104,79,-1.485760071,-0.307494554,-0.300165667,3.06307617,0.417030842,-0.191762266,80,
104,80,-1.485760071,-0.278683517,-0.293670678,3.066523581,0.458590547,-0.168279475,80,
104,81,-1.485760071,-0.266358953,-0.279652654,3.082886362,0.44291927,-0.136277453,80,
104,82,-1.515760071,-0.234769136,-0.281692421,3.085613581,0.435973982,-0.131901846,80,
104,83,-1.515760071,-0.257607503,-0.299258094,3.09873216,0.416708845,-0.105558494,80,
104,84,-1.515760071,-0.287408744,-0.302604803,3.100469604,0.422724657,-0.099962098,80,
104,85,-1.515760071,-0.315126593,-0.312714773,3.104819478,0.427696233,-0.088471284,80,
104,86,-1.515760071,-0.342340118,-0.325209041,3.109252545,0.43130815,-0.077231637,80,
104,87,-1.515760071,-0.371019847,-0.333786687,3.114399121,0.435309156,-0.064414064,80,
104,88,-1.515760071,-0.39994808,-0.341271519,3.121058876,0.385190587,-0.054588191,80,
104,89,-1.515760071,-0.429640437,-0.345072831,3.125522792,0.360178564,-0.04557046,80,
104,90,-1.515760071,-0.45898759,-0.350946812,3.128986939,0.362450242,-0.035539998,80,
104,91,-1.515760071,-0.48794063,-0.358752252,3.130931158,0.363022707,-0.030016615,80,
104,92,-1.515760071,-0.517566336,-0.362972206,3.134705525,0.36434333,-0.01932624,80,
104,93,-1.515760071,-0.54729177,-0.36700623,3.136011193,0.367968527,-0.015562411,80,
104,94,-1.515760071,-0.577037562,-0.370887506,-3.141565994,0.410441524,6.86E-05,80,
104,95,-1.515760071,-0.606898161,-0.373770308,-3.135733657,0.365631152,0.01639264,80,
104,96,-1.515760071,-0.636780401,-0.376420137,-3.13594571,0.364717426,0.015830397,80,
104,97,-1.515760071,-0.666694203,-0.378691833,-3.132928428,0.3638292,0.024345273,80,
104,98,-1.515760071,-0.696615454,-0.380854352,-3.130203905,0.362782274,0.032084151,80,
104,99,-1.515760071,-0.72655851,-0.382696906,-3.127429566,0.361469828,0.040032532,80,
104,100,-1.515760071,-0.756516424,-0.384280743,-3.121251116,0.389114522,0.05351756,80,
104,101,-1.515760071,-0.786487535,-0.385585327,-3.112963435,0.434219243,0.067965257,80,
104,102,-1.515760071,-0.816463453,-0.386787139,-3.107899707,0.430098122,0.080662006,80,
104,103,-1.515760071,-0.846452002,-0.387610994,-3.10338275,0.425312223,0.092390393,80,
104,104,-1.515760071,-0.876443536,-0.388299806,-3.100677773,0.422289884,0.099556622,80,
104,105,-1.515760071,-0.906440366,-0.388735939,-3.097627184,0.416209211,0.108392221,80,
104,106,-1.515760071,-0.936439198,-0.388914482,-3.085058317,0.437613522,0.13273591,80,
104,107,-1.515760071,-0.966439143,-0.388916686,-3.085677306,0.442335371,0.130025605,80,
104,108,-1.515760071,-0.996437355,-0.388648537,-3.069564589,0.455102322,0.162691625,80,
104,109,-1.515760071,-1.0264342,-0.388213436,-3.06292702,0.416399289,0.192341446,80,
104,110,-1.515760071,-1.056424308,-0.387452787,-3.04018034,0.395814063,0.258071013,80,
104,111,-1.515760071,-1.086410653,-0.386558573,-3.026479206,0.436749631,0.266805906,80,
104,112,-1.545760071,-1.068878051,-0.395451738,-2.983893906,0.466274265,0.339978733,80,
104,113,-1.545760071,-1.038888507,-0.396243745,-2.927888634,0.481224088,0.438361032,80,
104,114,-1.545760071,-1.008893024,-0.396744694,-3.127873064,0.149403712,0.091917184,80,
104,115,-1.545760071,-0.978895717,-0.397121922,-3.07096868,0.301862215,0.231172871,80,
104,116,-1.545760071,-0.948895909,-0.397014565,-2.553178066,0.514283076,0.935532525,80,
104,117,-1.545760071,-0.918896101,-0.397118102,-2.585038245,0.438876835,0.9715845,80,
104,118,-1.545760071,-0.888898736,-0.396756725,-3.0477436,0.331044898,0.28184801,80,
104,119,-1.545760071,-0.858903145,-0.396264214,-3.127437782,0.147475974,0.096043695,80,
104,120,-1.545760071,-0.828913688,-0.395468935,-2.851850988,0.500992396,0.55525663,80,
104,121,-1.545760071,-0.798930473,-0.394486081,-2.963093385,0.444423518,0.397319675,80,
104,122,-1.545760071,-0.768952523,-0.393336538,-3.010287476,0.423665693,0.310831414,80,
104,123,-1.545760071,-0.73898622,-0.391920982,-3.074082273,0.330243653,0.205427957,80,
104,124,-1.545760071,-0.709033556,-0.390240505,-3.047134326,0.306613866,0.304138862,80,
104,125,-1.545760071,-0.679093558,-0.388348801,-3.092616719,0.360236704,0.138495525,80,
104,126,-1.545760071,-0.649175864,-0.386135655,-3.083032972,0.390511183,0.152805042,80,
104,127,-1.545760071,-0.619268219,-0.383795913,-3.09430114,0.373424978,0.128949082,80,
104,128,-1.545760071,-0.589386645,-0.381134957,-3.101128044,0.35059645,0.117338219,80,
104,129,-1.545760071,-0.559572364,-0.377821217,-3.107398524,0.343025628,0.101361472,80,
104,130,-1.545760071,-0.529780022,-0.374326302,-3.10998288,0.346550257,0.092829561,80,
104,131,-1.545760071,-0.500010897,-0.370654517,-3.11288422,0.350156516,0.08351978,80,
104,132,-1.545760071,-0.471162212,-0.362438811,-3.116034563,0.353190997,0.073772648,80,
