idx,realsense_tag_id,x,y,z,yaw_web,yaw_front,r11,r12,r13,r21,r22,r23,r31,r32,r33,x_fit,y_fit,z_fit
1,100,-0.45,0.3975,0.08,-91.8993954631993,-0.392966398811115,0.999243086506011,-0.033046476795145,0.020522778597683,-0.034317633694062,-0.997292891034526,0.065032219012096,0.018318135483225,-0.065687288446281,-0.997672103473377,-0.638532462000698,0.381699687715475,0.069664273762884
2,101,-0.85,0.3975,0.08,-91.1910049326463,-0.48282044046749,0.999339310280044,-0.033879892607679,0.013156587927633,-0.03463632993977,-0.997455835531384,0.062307148969383,0.011012155888326,-0.062721679196922,-0.997970301853422,-1.04805667155433,0.384784473386125,0.063355778716208
3,102,-1.25,0.3975,0.08,-92.1543108162715,-0.469319172936966,0.999104775365061,-0.037032034732566,-0.020451803008481,-0.035969417717628,-0.998096994522343,0.050085831474801,-0.022267663366112,-0.049305353959113,-0.998535494231017,-1.41399707644287,0.390249515106203,0.067006031335243
4,103,-1.65,0.3975,0.08,-91.3914266026867,-0.429931231269366,0.999162304751641,-0.03210157178215,-0.025380659024228,-0.030737371982135,-0.998151642133635,0.052426265073544,-0.027016711994995,-0.051602213082824,-0.998302213198957,-1.80472628289941,0.392318788371416,0.073049969077822
5,104,-2.05,0.3975,0.08,-91.8604785569279,-0.473798577127573,0.998382294248812,-0.032311579550147,-0.046784146432858,-0.030506701407544,-0.998781512668232,0.038792152832644,-0.047980576275275,-0.037302168558072,-0.998151497780351,-2.19196774029451,0.395852262435569,0.085856930909054
6,105,-2.45,0.3975,0.08,-92.3296190554589,-0.156193986791632,0.997373015643591,-0.031932322803458,-0.065018416055638,-0.02923913639636,-0.998691336278819,0.041960549858452,-0.066273226636428,-0.039949237815061,-0.997001463303436,-2.58132784734591,0.400210388995613,0.108599086301207
