seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T13:34:16.948,126,0,1,fail,,,,"auto_align: step 3 move failed: move_cart failed: MoveCart error 112 (target=[-1064.2391750195898, 925.6333997702401, 475.6865848204237, 178.64333089773635, -1.4161109319025627, 53.864385785980446])",001_tag126_attempt1_fail.yaml
2,2026-09-02T13:34:17.132,126,0,2,fail,,,,"move_cart failed: MoveCart error 112 (target=[-1091.6999999999998, 892.0999999999999, 384.1, 178.70000000000002, 0.2999999999999997, 53.9])",002_tag126_attempt2_fail.yaml
3,2026-09-02T13:34:38.454,127,0,1,ok,2.1216109686329956,-1.4136286107250555,-0.07952655209649492,,003_tag127_attempt1_ok.yaml
4,2026-09-02T13:34:56.532,128,0,1,ok,2.1361635747117576,-0.9899165164293016,-0.03731705290815587,,004_tag128_attempt1_ok.yaml
5,2026-09-02T13:35:08.665,129,0,1,ok,2.166438692696688,-0.5778079984476181,-0.04318144222403971,,005_tag129_attempt1_ok.yaml
6,2026-09-02T13:35:28.921,130,1,1,ok,2.1240997688674383,-0.2091667333015441,-0.07855208744897332,,006_tag130_attempt1_ok.yaml
7,2026-09-02T13:35:46.079,131,1,1,ok,2.143956016905392,0.21251956504816535,-0.08250810674022838,,007_tag131_attempt1_ok.yaml
8,2026-09-02T13:35:58.659,132,1,1,ok,2.1685479374643846,0.6219791646573913,-0.06812333536120514,,008_tag132_attempt1_ok.yaml
9,2026-09-02T13:36:16.778,133,2,1,ok,2.122721293019434,0.9873608600968049,-0.0018600442831571435,,009_tag133_attempt1_ok.yaml
10,2026-09-02T13:36:28.723,134,2,1,ok,2.1409802956705426,1.4077749440874694,-0.047833842270243704,,010_tag134_attempt1_ok.yaml
11,2026-09-02T13:36:41.529,135,2,1,ok,2.1662342496869105,1.818476583596544,-0.07359430826857712,,011_tag135_attempt1_ok.yaml
12,2026-09-02T13:36:58.597,136,2,1,ok,2.1903065775037196,2.2192867601315727,-0.004908221096926693,,012_tag136_attempt1_ok.yaml
13,2026-09-02T13:37:14.705,137,2,1,ok,2.2178555840391754,2.6129608594096707,-0.06418501231053836,,013_tag137_attempt1_ok.yaml
14,2026-09-02T13:38:48.400,138,3,1,fail,,,,base nav to path_tag_id=138 failed,014_tag138_attempt1_fail.yaml
15,2026-09-02T13:38:48.445,138,3,2,fail,,,,base nav to path_tag_id=138 failed,015_tag138_attempt2_fail.yaml
16,2026-09-02T13:38:48.490,139,3,1,fail,,,,base nav to path_tag_id=139 failed,016_tag139_attempt1_fail.yaml
17,2026-09-02T13:38:48.528,139,3,2,fail,,,,base nav to path_tag_id=139 failed,017_tag139_attempt2_fail.yaml
18,2026-09-02T13:38:48.571,140,3,1,fail,,,,base nav to path_tag_id=140 failed,018_tag140_attempt1_fail.yaml
19,2026-09-02T13:38:48.616,140,3,2,fail,,,,base nav to path_tag_id=140 failed,019_tag140_attempt2_fail.yaml
20,2026-09-02T13:38:48.661,141,3,1,fail,,,,base nav to path_tag_id=141 failed,020_tag141_attempt1_fail.yaml
21,2026-09-02T13:38:48.714,141,3,2,fail,,,,base nav to path_tag_id=141 failed,021_tag141_attempt2_fail.yaml
22,2026-09-02T13:38:48.753,142,4,1,fail,,,,base nav to path_tag_id=142 failed,022_tag142_attempt1_fail.yaml
23,2026-09-02T13:38:48.804,142,4,2,fail,,,,base nav to path_tag_id=142 failed,023_tag142_attempt2_fail.yaml
24,2026-09-02T13:38:48.854,143,4,1,fail,,,,base nav to path_tag_id=143 failed,024_tag143_attempt1_fail.yaml
25,2026-09-02T13:38:48.896,143,4,2,fail,,,,base nav to path_tag_id=143 failed,025_tag143_attempt2_fail.yaml
26,2026-09-02T13:38:48.950,144,4,1,fail,,,,base nav to path_tag_id=144 failed,026_tag144_attempt1_fail.yaml
27,2026-09-02T13:38:49.000,144,4,2,fail,,,,base nav to path_tag_id=144 failed,027_tag144_attempt2_fail.yaml
28,2026-09-02T13:38:49.064,145,5,1,fail,,,,base nav to path_tag_id=145 failed,028_tag145_attempt1_fail.yaml
29,2026-09-02T13:38:49.123,145,5,2,fail,,,,base nav to path_tag_id=145 failed,029_tag145_attempt2_fail.yaml
30,2026-09-02T13:38:49.188,146,5,1,fail,,,,base nav to path_tag_id=146 failed,030_tag146_attempt1_fail.yaml
31,2026-09-02T13:38:49.244,146,5,2,fail,,,,base nav to path_tag_id=146 failed,031_tag146_attempt2_fail.yaml
32,2026-09-02T13:38:49.304,147,5,1,fail,,,,base nav to path_tag_id=147 failed,032_tag147_attempt1_fail.yaml
33,2026-09-02T13:38:49.367,147,5,2,fail,,,,base nav to path_tag_id=147 failed,033_tag147_attempt2_fail.yaml
34,2026-09-02T13:38:49.434,148,5,1,fail,,,,base nav to path_tag_id=148 failed,034_tag148_attempt1_fail.yaml
35,2026-09-02T13:38:49.501,148,5,2,fail,,,,base nav to path_tag_id=148 failed,035_tag148_attempt2_fail.yaml
36,2026-09-02T13:38:49.571,149,5,1,fail,,,,base nav to path_tag_id=149 failed,036_tag149_attempt1_fail.yaml
37,2026-09-02T13:38:49.637,149,5,2,fail,,,,base nav to path_tag_id=149 failed,037_tag149_attempt2_fail.yaml
38,2026-09-02T13:38:49.711,150,5,1,fail,,,,base nav to path_tag_id=150 failed,038_tag150_attempt1_fail.yaml
39,2026-09-02T13:38:49.777,150,5,2,fail,,,,base nav to path_tag_id=150 failed,039_tag150_attempt2_fail.yaml
