seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-22T15:42:04.903,100,0,1,ok,-1.7030275496819156,-1.8500197162212766,-0.06745535905407327,,001_tag100_attempt1_ok.yaml
2,2026-09-22T15:42:49.627,101,0,1,ok,-1.703083470638469,-1.4560352549361166,-0.07055892954105838,,002_tag101_attempt1_ok.yaml
3,2026-09-22T15:43:31.744,102,0,1,ok,-1.7034645487134132,-1.0604009883288499,-0.061947502646657784,,003_tag102_attempt1_ok.yaml
4,2026-09-22T15:44:16.835,103,0,1,ok,-1.7057746338350328,-0.6682082844543047,-0.07256793211590774,,004_tag103_attempt1_ok.yaml
5,2026-09-22T15:45:00.744,104,0,1,ok,-1.7191928852597442,-0.27830477288590194,-0.05494814631202738,,005_tag104_attempt1_ok.yaml
6,2026-09-22T15:45:43.951,105,1,1,ok,-1.702938135101581,0.14000278431558308,-0.07038924505330114,,006_tag105_attempt1_ok.yaml
7,2026-09-22T15:46:29.325,106,1,1,ok,-1.707579922627409,0.5330030064681287,-0.0773181164668872,,007_tag106_attempt1_ok.yaml
8,2026-09-22T15:47:10.760,107,1,1,ok,-1.7166122942052806,0.9240261431845593,-0.09914468171647789,,008_tag107_attempt1_ok.yaml
9,2026-09-22T15:47:51.893,108,2,1,ok,-1.7055263962306961,1.3372291297143872,-0.0757231520082768,,009_tag108_attempt1_ok.yaml
10,2026-09-22T15:48:36.036,109,2,1,ok,-1.7127438198733111,1.7296394941045299,-0.06428329661424172,,010_tag109_attempt1_ok.yaml
11,2026-09-22T15:49:18.555,110,2,1,ok,-1.7206570252749405,2.123102315244676,-0.07051417833961321,,011_tag110_attempt1_ok.yaml
12,2026-09-22T15:50:00.305,111,2,1,ok,-1.7286799694409023,2.51710174967384,-0.07464639760978803,,012_tag111_attempt1_ok.yaml
13,2026-09-22T15:50:48.229,112,2,1,ok,-1.7379888584350769,2.916227173705507,-0.0795847227915537,,013_tag112_attempt1_ok.yaml
14,2026-09-22T15:55:28.868,113,3,1,ok,1.676975531961384,1.841680926730903,-0.06376464597721407,,014_tag113_attempt1_ok.yaml
15,2026-09-22T15:56:16.497,114,3,1,ok,1.681036867553575,1.4456346210604183,-0.058569394808674985,,015_tag114_attempt1_ok.yaml
16,2026-09-22T15:56:55.889,115,3,1,ok,1.6846062976387302,1.0521204810369964,-0.0700240129743143,,016_tag115_attempt1_ok.yaml
17,2026-09-22T15:57:42.964,116,3,1,ok,1.6918943137876985,0.6616979483002826,-0.06201374031389449,,017_tag116_attempt1_ok.yaml
18,2026-09-22T15:58:26.972,117,3,1,ok,1.7037130849167315,0.2697116408636947,-0.04620568730720215,,018_tag117_attempt1_ok.yaml
19,2026-09-22T15:59:09.925,118,4,1,ok,1.6911524656708123,-0.1455200949396943,-0.06122047619605223,,019_tag118_attempt1_ok.yaml
20,2026-09-22T15:59:54.247,119,4,1,ok,1.698318991005772,-0.5337238898135956,-0.062308827407352205,,020_tag119_attempt1_ok.yaml
21,2026-09-22T16:00:39.509,120,4,1,ok,1.705682878302465,-0.92994392103151,-0.07858263594522674,,021_tag120_attempt1_ok.yaml
22,2026-09-22T16:01:21.870,121,5,1,ok,1.6926548885975952,-1.3444281736728276,-0.06252360392914229,,022_tag121_attempt1_ok.yaml
23,2026-09-22T16:02:08.442,122,5,1,ok,1.6972109030424645,-1.7367526416696437,-0.051847100249649884,,023_tag122_attempt1_ok.yaml
