seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-08T11:43:12.626,126,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),001_tag126_attempt1_fail.yaml
2,2026-09-08T11:43:30.557,126,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),002_tag126_attempt2_fail.yaml
3,2026-09-08T11:44:09.134,127,0,1,ok,2.1966196398133633,-1.4455272485113289,-0.08268439590661195,,003_tag127_attempt1_ok.yaml
4,2026-09-08T11:44:39.325,128,0,1,ok,2.198096519670655,-1.048025414350863,-0.066775821769772,,004_tag128_attempt1_ok.yaml
5,2026-09-08T11:45:10.353,129,0,1,ok,2.2037876133075436,-0.6505731947007494,-0.06625637730812035,,005_tag129_attempt1_ok.yaml
6,2026-09-08T11:45:44.882,130,1,1,ok,2.200483031383479,-0.24677307220363262,-0.1013945596154863,,006_tag130_attempt1_ok.yaml
7,2026-09-08T11:46:17.510,131,1,1,ok,2.2029909951005777,0.15242436263318962,-0.07849707961870052,,007_tag131_attempt1_ok.yaml
8,2026-09-08T11:46:47.419,132,1,1,ok,2.2053752301714162,0.5513098609455587,-0.06911172970725345,,008_tag132_attempt1_ok.yaml
9,2026-09-08T11:47:19.314,133,2,1,ok,2.200226845905278,0.9490008365655802,-0.07216700912917681,,009_tag133_attempt1_ok.yaml
10,2026-09-08T11:47:50.493,134,2,1,ok,2.2036420027938206,1.350076255629001,-0.08191196459107537,,010_tag134_attempt1_ok.yaml
11,2026-09-08T11:48:19.649,135,2,1,ok,2.204169747501407,1.7502263832675407,-0.06472113997301339,,011_tag135_attempt1_ok.yaml
12,2026-09-08T11:48:49.978,136,2,1,ok,2.204519688675121,2.1559667984989974,-0.05516022653143377,,012_tag136_attempt1_ok.yaml
13,2026-09-08T11:49:22.827,137,2,1,ok,2.2111179300205377,2.5597826681295732,-0.058486225859715746,,013_tag137_attempt1_ok.yaml
14,2026-09-08T11:52:42.466,138,3,1,ok,5.619464338420692,1.8572209775336503,-0.07199012528026597,,014_tag138_attempt1_ok.yaml
15,2026-09-08T11:53:19.276,139,3,1,ok,5.613750905322909,1.457887749444079,-0.06992326773734595,,015_tag139_attempt1_ok.yaml
16,2026-09-08T11:53:48.182,140,3,1,ok,5.607875633502409,1.058516152977044,-0.08295000735258938,,016_tag140_attempt1_ok.yaml
17,2026-09-08T11:54:17.716,141,3,1,ok,5.608522759867416,0.6583582312161864,-0.08115107133216225,,017_tag141_attempt1_ok.yaml
18,2026-09-08T11:54:49.370,142,4,1,ok,5.619507972198782,0.2532810388657525,-0.08300759148704426,,018_tag142_attempt1_ok.yaml
19,2026-09-08T11:55:22.280,143,4,1,ok,5.614119902454411,-0.1420774709737419,-0.08529729903882309,,019_tag143_attempt1_ok.yaml
20,2026-09-08T11:55:52.151,144,4,1,ok,5.613662289096104,-0.5409349919816804,-0.08631818403347107,,020_tag144_attempt1_ok.yaml
21,2026-09-08T11:56:24.224,145,5,1,ok,5.619945515466258,-0.9429136470231978,-0.07194592764852212,,021_tag145_attempt1_ok.yaml
22,2026-09-08T11:56:58.318,146,5,1,ok,5.614662067576418,-1.3411183723612734,-0.06134187961716479,,022_tag146_attempt1_ok.yaml
23,2026-09-08T11:57:29.073,147,5,1,ok,5.615449748835167,-1.7393599192534186,-0.06612026056958807,,023_tag147_attempt1_ok.yaml
24,2026-09-08T11:57:59.069,148,5,1,ok,5.615190469801509,-2.146530082846509,-0.053792517049826676,,024_tag148_attempt1_ok.yaml
25,2026-09-08T11:58:32.294,149,5,1,ok,5.610035796314397,-2.5517781526101078,-0.04249542808463225,,025_tag149_attempt1_ok.yaml
26,2026-09-08T11:59:13.621,150,5,1,ok,5.603701023536718,-2.960766564184591,-0.038408967796724876,,026_tag150_attempt1_ok.yaml
