seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T13:15:27.977,126,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 2 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),001_tag126_attempt1_fail.yaml
2,2026-09-02T13:16:28.058,126,0,2,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-1091.7, 892.1, 384.09999999999985, 178.70000000000002, 0.2999999999999998, 53.900000000000006]",002_tag126_attempt2_fail.yaml
3,2026-09-02T13:17:43.049,127,0,1,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-863.2784704004365, 1051.8245676106844, 374.0207650079439, 165.65729009452383, 25.96931058057111, 40.011682661870346]",003_tag127_attempt1_fail.yaml
4,2026-09-02T13:18:51.421,127,0,2,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-845.4339946078659, 1076.6423072557482, 367.00080029965005, 165.7021906892248, 27.593686507233127, 39.68605141921767]",004_tag127_attempt2_fail.yaml
5,2026-09-02T13:19:13.465,128,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 4 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),005_tag128_attempt1_fail.yaml
6,2026-09-02T13:19:25.247,128,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 4 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),006_tag128_attempt2_fail.yaml
7,2026-09-02T13:19:27.161,129,0,1,fail,,,,base nav to path_tag_id=129 failed,007_tag129_attempt1_fail.yaml
8,2026-09-02T13:19:27.199,129,0,2,fail,,,,base nav to path_tag_id=129 failed,008_tag129_attempt2_fail.yaml
9,2026-09-02T13:19:27.236,130,1,1,fail,,,,base nav to path_tag_id=130 failed,009_tag130_attempt1_fail.yaml
10,2026-09-02T13:19:27.271,130,1,2,fail,,,,base nav to path_tag_id=130 failed,010_tag130_attempt2_fail.yaml
11,2026-09-02T13:19:27.305,131,1,1,fail,,,,base nav to path_tag_id=131 failed,011_tag131_attempt1_fail.yaml
12,2026-09-02T13:19:27.361,131,1,2,fail,,,,base nav to path_tag_id=131 failed,012_tag131_attempt2_fail.yaml
13,2026-09-02T13:19:27.393,132,1,1,fail,,,,base nav to path_tag_id=132 failed,013_tag132_attempt1_fail.yaml
14,2026-09-02T13:19:27.424,132,1,2,fail,,,,base nav to path_tag_id=132 failed,014_tag132_attempt2_fail.yaml
15,2026-09-02T13:19:27.500,133,2,1,fail,,,,base nav to path_tag_id=133 failed,015_tag133_attempt1_fail.yaml
16,2026-09-02T13:19:27.573,133,2,2,fail,,,,base nav to path_tag_id=133 failed,016_tag133_attempt2_fail.yaml
17,2026-09-02T13:19:27.637,134,2,1,fail,,,,base nav to path_tag_id=134 failed,017_tag134_attempt1_fail.yaml
18,2026-09-02T13:19:27.713,134,2,2,fail,,,,base nav to path_tag_id=134 failed,018_tag134_attempt2_fail.yaml
19,2026-09-02T13:19:27.764,135,2,1,fail,,,,base nav to path_tag_id=135 failed,019_tag135_attempt1_fail.yaml
20,2026-09-02T13:19:27.818,135,2,2,fail,,,,base nav to path_tag_id=135 failed,020_tag135_attempt2_fail.yaml
21,2026-09-02T13:19:27.894,136,2,1,fail,,,,base nav to path_tag_id=136 failed,021_tag136_attempt1_fail.yaml
22,2026-09-02T13:19:27.961,136,2,2,fail,,,,base nav to path_tag_id=136 failed,022_tag136_attempt2_fail.yaml
23,2026-09-02T13:19:28.039,137,2,1,fail,,,,base nav to path_tag_id=137 failed,023_tag137_attempt1_fail.yaml
24,2026-09-02T13:19:28.091,137,2,2,fail,,,,base nav to path_tag_id=137 failed,024_tag137_attempt2_fail.yaml
25,2026-09-02T13:19:28.161,138,3,1,fail,,,,base nav to path_tag_id=138 failed,025_tag138_attempt1_fail.yaml
26,2026-09-02T13:19:28.213,138,3,2,fail,,,,base nav to path_tag_id=138 failed,026_tag138_attempt2_fail.yaml
27,2026-09-02T13:19:28.314,139,3,1,fail,,,,base nav to path_tag_id=139 failed,027_tag139_attempt1_fail.yaml
28,2026-09-02T13:19:28.383,139,3,2,fail,,,,base nav to path_tag_id=139 failed,028_tag139_attempt2_fail.yaml
29,2026-09-02T13:19:28.476,140,3,1,fail,,,,base nav to path_tag_id=140 failed,029_tag140_attempt1_fail.yaml
30,2026-09-02T13:19:28.543,140,3,2,fail,,,,base nav to path_tag_id=140 failed,030_tag140_attempt2_fail.yaml
31,2026-09-02T13:19:28.624,141,3,1,fail,,,,base nav to path_tag_id=141 failed,031_tag141_attempt1_fail.yaml
32,2026-09-02T13:19:28.707,141,3,2,fail,,,,base nav to path_tag_id=141 failed,032_tag141_attempt2_fail.yaml
33,2026-09-02T13:19:28.796,142,4,1,fail,,,,base nav to path_tag_id=142 failed,033_tag142_attempt1_fail.yaml
34,2026-09-02T13:19:28.879,142,4,2,fail,,,,base nav to path_tag_id=142 failed,034_tag142_attempt2_fail.yaml
35,2026-09-02T13:19:28.967,143,4,1,fail,,,,base nav to path_tag_id=143 failed,035_tag143_attempt1_fail.yaml
36,2026-09-02T13:19:29.044,143,4,2,fail,,,,base nav to path_tag_id=143 failed,036_tag143_attempt2_fail.yaml
37,2026-09-02T13:19:29.157,144,4,1,fail,,,,base nav to path_tag_id=144 failed,037_tag144_attempt1_fail.yaml
38,2026-09-02T13:19:29.245,144,4,2,fail,,,,base nav to path_tag_id=144 failed,038_tag144_attempt2_fail.yaml
39,2026-09-02T13:19:29.342,145,5,1,fail,,,,base nav to path_tag_id=145 failed,039_tag145_attempt1_fail.yaml
40,2026-09-02T13:19:29.434,145,5,2,fail,,,,base nav to path_tag_id=145 failed,040_tag145_attempt2_fail.yaml
41,2026-09-02T13:19:29.536,146,5,1,fail,,,,base nav to path_tag_id=146 failed,041_tag146_attempt1_fail.yaml
42,2026-09-02T13:19:29.619,146,5,2,fail,,,,base nav to path_tag_id=146 failed,042_tag146_attempt2_fail.yaml
43,2026-09-02T13:19:29.720,147,5,1,fail,,,,base nav to path_tag_id=147 failed,043_tag147_attempt1_fail.yaml
44,2026-09-02T13:19:29.802,147,5,2,fail,,,,base nav to path_tag_id=147 failed,044_tag147_attempt2_fail.yaml
45,2026-09-02T13:19:29.916,148,5,1,fail,,,,base nav to path_tag_id=148 failed,045_tag148_attempt1_fail.yaml
46,2026-09-02T13:19:30.009,148,5,2,fail,,,,base nav to path_tag_id=148 failed,046_tag148_attempt2_fail.yaml
47,2026-09-02T13:19:30.135,149,5,1,fail,,,,base nav to path_tag_id=149 failed,047_tag149_attempt1_fail.yaml
48,2026-09-02T13:19:30.244,149,5,2,fail,,,,base nav to path_tag_id=149 failed,048_tag149_attempt2_fail.yaml
49,2026-09-02T13:19:30.344,150,5,1,fail,,,,base nav to path_tag_id=150 failed,049_tag150_attempt1_fail.yaml
50,2026-09-02T13:19:30.451,150,5,2,fail,,,,base nav to path_tag_id=150 failed,050_tag150_attempt2_fail.yaml
