seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T12:13:18.570,126,0,1,fail,,,,base nav to nav_start_id=500 failed,001_tag126_attempt1_fail.yaml
2,2026-09-02T12:13:18.585,126,0,2,fail,,,,base nav to nav_start_id=500 failed,002_tag126_attempt2_fail.yaml
3,2026-09-02T12:13:18.629,127,0,1,fail,,,,base nav to path_tag_id=127 failed,003_tag127_attempt1_fail.yaml
4,2026-09-02T12:13:18.649,127,0,2,fail,,,,base nav to path_tag_id=127 failed,004_tag127_attempt2_fail.yaml
5,2026-09-02T12:13:18.682,128,0,1,fail,,,,base nav to path_tag_id=128 failed,005_tag128_attempt1_fail.yaml
6,2026-09-02T12:13:18.705,128,0,2,fail,,,,base nav to path_tag_id=128 failed,006_tag128_attempt2_fail.yaml
7,2026-09-02T12:13:18.730,129,0,1,fail,,,,base nav to path_tag_id=129 failed,007_tag129_attempt1_fail.yaml
8,2026-09-02T12:13:18.760,129,0,2,fail,,,,base nav to path_tag_id=129 failed,008_tag129_attempt2_fail.yaml
9,2026-09-02T12:13:18.790,130,1,1,fail,,,,base nav to path_tag_id=130 failed,009_tag130_attempt1_fail.yaml
10,2026-09-02T12:13:18.817,130,1,2,fail,,,,base nav to path_tag_id=130 failed,010_tag130_attempt2_fail.yaml
11,2026-09-02T12:13:18.846,131,1,1,fail,,,,base nav to path_tag_id=131 failed,011_tag131_attempt1_fail.yaml
12,2026-09-02T12:13:18.877,131,1,2,fail,,,,base nav to path_tag_id=131 failed,012_tag131_attempt2_fail.yaml
13,2026-09-02T12:13:18.910,132,1,1,fail,,,,base nav to path_tag_id=132 failed,013_tag132_attempt1_fail.yaml
14,2026-09-02T12:13:18.947,132,1,2,fail,,,,base nav to path_tag_id=132 failed,014_tag132_attempt2_fail.yaml
15,2026-09-02T12:13:19.000,133,2,1,fail,,,,base nav to path_tag_id=133 failed,015_tag133_attempt1_fail.yaml
16,2026-09-02T12:13:19.036,133,2,2,fail,,,,base nav to path_tag_id=133 failed,016_tag133_attempt2_fail.yaml
17,2026-09-02T12:13:19.100,134,2,1,fail,,,,base nav to path_tag_id=134 failed,017_tag134_attempt1_fail.yaml
18,2026-09-02T12:13:19.149,134,2,2,fail,,,,base nav to path_tag_id=134 failed,018_tag134_attempt2_fail.yaml
19,2026-09-02T12:13:19.197,135,2,1,fail,,,,base nav to path_tag_id=135 failed,019_tag135_attempt1_fail.yaml
