seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T14:24:41.629,126,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),001_tag126_attempt1_fail.yaml
2,2026-09-02T14:24:41.816,126,0,2,fail,,,,"move_cart failed: move_cart failed: MoveL error 112 (target=[-1091.7, 892.1, 384.09999999999997, 178.70000000000002, 0.30000000000000004, 53.90000000000001])",002_tag126_attempt2_fail.yaml
3,2026-09-02T14:24:54.169,127,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),003_tag127_attempt1_fail.yaml
4,2026-09-02T14:24:57.630,127,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),004_tag127_attempt2_fail.yaml
5,2026-09-02T14:25:24.402,128,0,1,ok,2.1365631365946887,-0.9930338741656196,-0.07373824030127188,,005_tag128_attempt1_ok.yaml
6,2026-09-02T14:25:46.403,129,0,1,ok,2.165921691731338,-0.5807979740858594,-0.05290049948795824,,006_tag129_attempt1_ok.yaml
7,2026-09-02T14:26:13.799,130,1,1,ok,2.1255800323105807,-0.20890411163605282,-0.08700069093671878,,007_tag130_attempt1_ok.yaml
8,2026-09-02T14:26:34.373,131,1,1,ok,2.1473643338709922,0.22392626864152,-0.08365836233409954,,008_tag131_attempt1_ok.yaml
9,2026-09-02T14:26:52.691,132,1,1,ok,2.1701723477851376,0.6139877226986374,-0.10530902622690953,,009_tag132_attempt1_ok.yaml
10,2026-09-02T14:27:21.511,133,2,1,ok,2.122543557116103,0.9914802795030292,-0.08029150933212656,,010_tag133_attempt1_ok.yaml
11,2026-09-02T14:27:43.335,134,2,1,ok,2.1447626454776967,1.4052800274517407,-0.04819479894375431,,011_tag134_attempt1_ok.yaml
12,2026-09-02T14:27:58.325,135,2,1,ok,2.167281067895508,1.8247933908123932,-0.08492858057124816,,012_tag135_attempt1_ok.yaml
13,2026-09-02T14:28:20.545,136,2,1,ok,2.1942269827489325,2.2172787988655536,-0.11499813160973056,,013_tag136_attempt1_ok.yaml
14,2026-09-02T14:28:41.903,137,2,1,ok,2.2182509292486907,2.623155891980902,-0.02990011102996227,,014_tag137_attempt1_ok.yaml
15,2026-09-02T14:31:27.361,138,3,1,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-96.83434545495196, 862.3895992744361, 380.70509081647543, 178.70000000000002, 0.2999999999999999, 53.900000000000006]",015_tag138_attempt1_fail.yaml
16,2026-09-02T14:32:27.519,138,3,2,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-694.6097673479144, 880.2372095840434, 382.7406702460465, 178.70000000000002, 0.29999999999999993, 53.900000000000006]",016_tag138_attempt2_fail.yaml
17,2026-09-02T14:32:59.509,139,3,1,ok,5.6682135383665315,1.4186327794301512,-0.056989649875042264,,017_tag139_attempt1_ok.yaml
18,2026-09-02T14:33:54.087,140,3,1,ok,5.648973956866883,0.9995024926856106,-0.06371862088761712,,018_tag140_attempt1_ok.yaml
19,2026-09-02T14:34:40.777,141,3,1,ok,5.6286929899830085,0.5881436419895361,-0.03593996748490911,,019_tag141_attempt1_ok.yaml
20,2026-09-02T14:35:48.129,142,4,1,fail,,,,"move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-713.8000000000001, 875.0000000000001, 384.09999999999997, 178.70000000000002, 0.3, 43.9]",020_tag142_attempt1_fail.yaml
21,2026-09-02T14:36:13.020,142,4,2,ok,5.673067793185266,0.2200696635095405,-0.06976914061422576,,021_tag142_attempt2_ok.yaml
22,2026-09-02T14:37:09.154,143,4,1,ok,5.656409592346618,-0.1979295133199509,-0.04766687489696684,,022_tag143_attempt1_ok.yaml
23,2026-09-02T14:37:55.874,144,4,1,ok,5.633601072579805,-0.608056618587419,-0.05441051403037565,,023_tag144_attempt1_ok.yaml
24,2026-09-02T14:38:50.823,145,5,1,ok,5.675452271888912,-0.9792820505007622,-0.022916534174791864,,024_tag145_attempt1_ok.yaml
25,2026-09-02T14:39:26.664,146,5,1,ok,5.657181737172777,-1.40062826307544,-0.029874853991590598,,025_tag146_attempt1_ok.yaml
26,2026-09-02T14:39:50.872,147,5,1,ok,5.634451640342318,-1.809758685457567,-0.029077040217868923,,026_tag147_attempt1_ok.yaml
27,2026-09-02T14:40:20.745,148,5,1,ok,5.610325693561499,-2.211582136980991,-0.01938213841901408,,027_tag148_attempt1_ok.yaml
28,2026-09-02T14:40:52.854,149,5,1,ok,5.586846410620945,-2.6044998901618635,-0.02141801881505339,,028_tag149_attempt1_ok.yaml
29,2026-09-02T14:41:00.335,150,5,1,fail,,,,"move_cart failed: move_cart failed: MoveL error 112 (target=[1065.0, 923.8, 384.1, 178.70000000000002, 0.2999999999999999, -46.10000000000001])",029_tag150_attempt1_fail.yaml
30,2026-09-02T14:41:00.518,150,5,2,fail,,,,"move_cart failed: move_cart failed: MoveL error 112 (target=[1065.0, 923.8, 384.09999999999997, 178.70000000000002, 0.29999999999999927, -46.099999999999994])",030_tag150_attempt2_fail.yaml
