seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-22T16:17:08.779,123,5,1,ok,1.6976963223623232,-2.148927458934989,-0.04748112140988935,,001_tag123_attempt1_ok.yaml
2,2026-09-22T16:17:49.291,124,5,1,fail,,,,auto_align: tag A (id=5) not detected at iteration 1 — adjust initial pose (tag 5 not detected on /hand_cam/tag_detections within 3.0s),002_tag124_attempt1_fail.yaml
3,2026-09-22T16:18:10.925,124,5,2,ok,1.6996846675344424,-2.5467920866593206,-0.05777821447652254,,003_tag124_attempt2_ok.yaml
4,2026-09-22T16:19:00.479,125,5,1,ok,1.7020260832038119,-2.948776806114802,-0.03853747790204771,,004_tag125_attempt1_ok.yaml
