time,tag,tip_source,tip_x,tip_y,tip_z,dx_mm,dy_mm,d_mm,standoff_mm,rz_deg,px_per_mm,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz
2026-09-21 16:29:34,215,measured,-1.81,-245.59,209.60,-0.14,2.63,2.63,16.62,-0.0,88.6,-213.17,1017.20,-432.58,180.00,-0.00,-0.02
2026-09-21 16:31:27,215,DESIGN,0.00,-253.00,225.20,-7.49,0.58,7.52,16.65,-0.0,88.5,-214.98,1009.79,-432.70,180.00,0.00,-0.03
