seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T13:32:52.060,126,0,1,fail,,,,base nav to path_tag_id=126 failed,001_tag126_attempt1_fail.yaml
2,2026-09-02T13:32:52.124,126,0,2,fail,,,,base nav to path_tag_id=126 failed,002_tag126_attempt2_fail.yaml
3,2026-09-02T13:32:52.191,127,0,1,fail,,,,base nav to path_tag_id=127 failed,003_tag127_attempt1_fail.yaml
4,2026-09-02T13:32:52.255,127,0,2,fail,,,,base nav to path_tag_id=127 failed,004_tag127_attempt2_fail.yaml
5,2026-09-02T13:32:52.325,128,0,1,fail,,,,base nav to path_tag_id=128 failed,005_tag128_attempt1_fail.yaml
6,2026-09-02T13:32:52.392,128,0,2,fail,,,,base nav to path_tag_id=128 failed,006_tag128_attempt2_fail.yaml
7,2026-09-02T13:32:52.461,129,0,1,fail,,,,base nav to path_tag_id=129 failed,007_tag129_attempt1_fail.yaml
8,2026-09-02T13:32:52.528,129,0,2,fail,,,,base nav to path_tag_id=129 failed,008_tag129_attempt2_fail.yaml
9,2026-09-02T13:32:52.597,130,1,1,fail,,,,base nav to path_tag_id=130 failed,009_tag130_attempt1_fail.yaml
10,2026-09-02T13:32:52.664,130,1,2,fail,,,,base nav to path_tag_id=130 failed,010_tag130_attempt2_fail.yaml
11,2026-09-02T13:32:52.733,131,1,1,fail,,,,base nav to path_tag_id=131 failed,011_tag131_attempt1_fail.yaml
12,2026-09-02T13:32:52.805,131,1,2,fail,,,,base nav to path_tag_id=131 failed,012_tag131_attempt2_fail.yaml
13,2026-09-02T13:32:52.884,132,1,1,fail,,,,base nav to path_tag_id=132 failed,013_tag132_attempt1_fail.yaml
14,2026-09-02T13:32:52.954,132,1,2,fail,,,,base nav to path_tag_id=132 failed,014_tag132_attempt2_fail.yaml
15,2026-09-02T13:32:53.029,133,2,1,fail,,,,base nav to path_tag_id=133 failed,015_tag133_attempt1_fail.yaml
16,2026-09-02T13:32:53.099,133,2,2,fail,,,,base nav to path_tag_id=133 failed,016_tag133_attempt2_fail.yaml
17,2026-09-02T13:32:53.172,134,2,1,fail,,,,base nav to path_tag_id=134 failed,017_tag134_attempt1_fail.yaml
18,2026-09-02T13:32:53.252,134,2,2,fail,,,,base nav to path_tag_id=134 failed,018_tag134_attempt2_fail.yaml
19,2026-09-02T13:32:53.330,135,2,1,fail,,,,base nav to path_tag_id=135 failed,019_tag135_attempt1_fail.yaml
20,2026-09-02T13:32:53.405,135,2,2,fail,,,,base nav to path_tag_id=135 failed,020_tag135_attempt2_fail.yaml
21,2026-09-02T13:32:53.492,136,2,1,fail,,,,base nav to path_tag_id=136 failed,021_tag136_attempt1_fail.yaml
22,2026-09-02T13:32:53.568,136,2,2,fail,,,,base nav to path_tag_id=136 failed,022_tag136_attempt2_fail.yaml
23,2026-09-02T13:32:53.655,137,2,1,fail,,,,base nav to path_tag_id=137 failed,023_tag137_attempt1_fail.yaml
24,2026-09-02T13:32:53.732,137,2,2,fail,,,,base nav to path_tag_id=137 failed,024_tag137_attempt2_fail.yaml
25,2026-09-02T13:32:53.820,138,3,1,fail,,,,base nav to path_tag_id=138 failed,025_tag138_attempt1_fail.yaml
26,2026-09-02T13:32:53.910,138,3,2,fail,,,,base nav to path_tag_id=138 failed,026_tag138_attempt2_fail.yaml
27,2026-09-02T13:32:53.995,139,3,1,fail,,,,base nav to path_tag_id=139 failed,027_tag139_attempt1_fail.yaml
28,2026-09-02T13:32:54.084,139,3,2,fail,,,,base nav to path_tag_id=139 failed,028_tag139_attempt2_fail.yaml
29,2026-09-02T13:32:54.189,140,3,1,fail,,,,base nav to path_tag_id=140 failed,029_tag140_attempt1_fail.yaml
30,2026-09-02T13:32:54.313,140,3,2,fail,,,,base nav to path_tag_id=140 failed,030_tag140_attempt2_fail.yaml
31,2026-09-02T13:32:54.429,141,3,1,fail,,,,base nav to path_tag_id=141 failed,031_tag141_attempt1_fail.yaml
32,2026-09-02T13:32:54.545,141,3,2,fail,,,,base nav to path_tag_id=141 failed,032_tag141_attempt2_fail.yaml
33,2026-09-02T13:32:54.673,142,4,1,fail,,,,base nav to path_tag_id=142 failed,033_tag142_attempt1_fail.yaml
34,2026-09-02T13:32:54.803,142,4,2,fail,,,,base nav to path_tag_id=142 failed,034_tag142_attempt2_fail.yaml
35,2026-09-02T13:32:54.944,143,4,1,fail,,,,base nav to path_tag_id=143 failed,035_tag143_attempt1_fail.yaml
36,2026-09-02T13:32:55.073,143,4,2,fail,,,,base nav to path_tag_id=143 failed,036_tag143_attempt2_fail.yaml
37,2026-09-02T13:32:55.217,144,4,1,fail,,,,base nav to path_tag_id=144 failed,037_tag144_attempt1_fail.yaml
38,2026-09-02T13:32:55.337,144,4,2,fail,,,,base nav to path_tag_id=144 failed,038_tag144_attempt2_fail.yaml
39,2026-09-02T13:32:55.464,145,5,1,fail,,,,base nav to path_tag_id=145 failed,039_tag145_attempt1_fail.yaml
40,2026-09-02T13:32:55.588,145,5,2,fail,,,,base nav to path_tag_id=145 failed,040_tag145_attempt2_fail.yaml
41,2026-09-02T13:32:55.715,146,5,1,fail,,,,base nav to path_tag_id=146 failed,041_tag146_attempt1_fail.yaml
42,2026-09-02T13:32:55.860,146,5,2,fail,,,,base nav to path_tag_id=146 failed,042_tag146_attempt2_fail.yaml
43,2026-09-02T13:32:55.986,147,5,1,fail,,,,base nav to path_tag_id=147 failed,043_tag147_attempt1_fail.yaml
44,2026-09-02T13:32:56.101,147,5,2,fail,,,,base nav to path_tag_id=147 failed,044_tag147_attempt2_fail.yaml
45,2026-09-02T13:32:56.237,148,5,1,fail,,,,base nav to path_tag_id=148 failed,045_tag148_attempt1_fail.yaml
46,2026-09-02T13:32:56.350,148,5,2,fail,,,,base nav to path_tag_id=148 failed,046_tag148_attempt2_fail.yaml
47,2026-09-02T13:32:56.481,149,5,1,fail,,,,base nav to path_tag_id=149 failed,047_tag149_attempt1_fail.yaml
48,2026-09-02T13:32:56.600,149,5,2,fail,,,,base nav to path_tag_id=149 failed,048_tag149_attempt2_fail.yaml
49,2026-09-02T13:32:56.712,150,5,1,fail,,,,base nav to path_tag_id=150 failed,049_tag150_attempt1_fail.yaml
50,2026-09-02T13:32:56.825,150,5,2,fail,,,,base nav to path_tag_id=150 failed,050_tag150_attempt2_fail.yaml
