seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-14T19:29:01.580,100,0,1,ok,-1.7166390695649665,-1.8469806474764763,-0.10153984734132296,,001_tag100_attempt1_ok.yaml
2,2026-09-14T19:30:02.704,101,0,1,ok,-1.7131861070276964,-1.44959086079588,-0.08657983243133408,,002_tag101_attempt1_ok.yaml
3,2026-09-14T19:30:54.485,102,0,1,ok,-1.709186607060904,-1.0497104209281152,-0.06013386497148412,,003_tag102_attempt1_ok.yaml
4,2026-09-14T19:31:47.181,103,0,1,ok,-1.705621221309749,-0.651949195539393,-0.06330195327779871,,004_tag103_attempt1_ok.yaml
5,2026-09-14T19:32:36.635,104,0,1,ok,-1.7073627522403267,-0.2535752311536339,-0.058992356380365325,,005_tag104_attempt1_ok.yaml
6,2026-09-14T19:33:30.773,105,1,1,ok,-1.70908130503549,0.1477383936114303,-0.07319023013154248,,006_tag105_attempt1_ok.yaml
7,2026-09-14T19:34:23.271,106,1,1,ok,-1.7082573069399265,0.5473770493153447,-0.07624414822528854,,007_tag106_attempt1_ok.yaml
8,2026-09-14T19:35:12.927,107,1,1,ok,-1.7095389170822002,0.9469898128460171,-0.06328452395263584,,008_tag107_attempt1_ok.yaml
9,2026-09-14T19:36:04.723,108,2,1,ok,-1.7112798601531174,1.3469153784294963,-0.0788567644427909,,009_tag108_attempt1_ok.yaml
10,2026-09-14T19:36:59.894,109,2,1,ok,-1.7123471343570205,1.745301874571748,-0.06788895295117171,,010_tag109_attempt1_ok.yaml
11,2026-09-14T19:37:44.234,110,2,1,ok,-1.712080545371872,2.1441964878090767,-0.07409646229362749,,011_tag110_attempt1_ok.yaml
12,2026-09-14T19:38:32.467,111,2,1,ok,-1.7074268740862677,2.543606459401146,-0.09010168591270262,,012_tag111_attempt1_ok.yaml
13,2026-09-14T19:39:34.025,112,2,1,ok,-1.7100402877684817,2.9448847360724573,-0.07448370221352167,,013_tag112_attempt1_ok.yaml
14,2026-09-14T19:40:07.166,113,3,1,fail,,,,base nav to path_tag_id=113 failed,014_tag113_attempt1_fail.yaml
15,2026-09-14T19:40:20.598,113,3,2,fail,,,,base nav to path_tag_id=113 failed,015_tag113_attempt2_fail.yaml
16,2026-09-14T19:40:20.987,114,3,1,fail,,,,base nav to path_tag_id=114 failed,016_tag114_attempt1_fail.yaml
17,2026-09-14T19:40:21.367,114,3,2,fail,,,,base nav to path_tag_id=114 failed,017_tag114_attempt2_fail.yaml
18,2026-09-14T19:40:21.755,115,3,1,fail,,,,base nav to path_tag_id=115 failed,018_tag115_attempt1_fail.yaml
19,2026-09-14T19:40:22.129,115,3,2,fail,,,,base nav to path_tag_id=115 failed,019_tag115_attempt2_fail.yaml
20,2026-09-14T19:40:22.512,116,3,1,fail,,,,base nav to path_tag_id=116 failed,020_tag116_attempt1_fail.yaml
21,2026-09-14T19:40:22.909,116,3,2,fail,,,,base nav to path_tag_id=116 failed,021_tag116_attempt2_fail.yaml
22,2026-09-14T19:40:23.302,117,3,1,fail,,,,base nav to path_tag_id=117 failed,022_tag117_attempt1_fail.yaml
23,2026-09-14T19:40:23.691,117,3,2,fail,,,,base nav to path_tag_id=117 failed,023_tag117_attempt2_fail.yaml
24,2026-09-14T19:40:24.091,118,4,1,fail,,,,base nav to path_tag_id=118 failed,024_tag118_attempt1_fail.yaml
25,2026-09-14T19:40:24.489,118,4,2,fail,,,,base nav to path_tag_id=118 failed,025_tag118_attempt2_fail.yaml
26,2026-09-14T19:40:24.889,119,4,1,fail,,,,base nav to path_tag_id=119 failed,026_tag119_attempt1_fail.yaml
27,2026-09-14T19:40:25.288,119,4,2,fail,,,,base nav to path_tag_id=119 failed,027_tag119_attempt2_fail.yaml
28,2026-09-14T19:40:25.717,120,4,1,fail,,,,base nav to path_tag_id=120 failed,028_tag120_attempt1_fail.yaml
29,2026-09-14T19:40:26.113,120,4,2,fail,,,,base nav to path_tag_id=120 failed,029_tag120_attempt2_fail.yaml
30,2026-09-14T19:40:26.529,121,5,1,fail,,,,base nav to path_tag_id=121 failed,030_tag121_attempt1_fail.yaml
31,2026-09-14T19:40:26.940,121,5,2,fail,,,,base nav to path_tag_id=121 failed,031_tag121_attempt2_fail.yaml
32,2026-09-14T19:40:27.356,122,5,1,fail,,,,base nav to path_tag_id=122 failed,032_tag122_attempt1_fail.yaml
33,2026-09-14T19:40:27.743,122,5,2,fail,,,,base nav to path_tag_id=122 failed,033_tag122_attempt2_fail.yaml
34,2026-09-14T19:40:28.157,123,5,1,fail,,,,base nav to path_tag_id=123 failed,034_tag123_attempt1_fail.yaml
35,2026-09-14T19:40:28.595,123,5,2,fail,,,,base nav to path_tag_id=123 failed,035_tag123_attempt2_fail.yaml
36,2026-09-14T19:40:29.029,124,5,1,fail,,,,base nav to path_tag_id=124 failed,036_tag124_attempt1_fail.yaml
37,2026-09-14T19:40:29.445,124,5,2,fail,,,,base nav to path_tag_id=124 failed,037_tag124_attempt2_fail.yaml
38,2026-09-14T19:40:29.859,125,5,1,fail,,,,base nav to path_tag_id=125 failed,038_tag125_attempt1_fail.yaml
39,2026-09-14T19:40:30.268,125,5,2,fail,,,,base nav to path_tag_id=125 failed,039_tag125_attempt2_fail.yaml
