seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-02T14:02:44.825,126,0,1,fail,,,,"auto_align: step 3 move failed: move_cart failed: MoveCart error 112 (target=[-1062.815419848065, 970.4974985039943, 474.06398533541994, 175.7345083837119, -0.01935621630273848, 54.19149015881715])",001_tag126_attempt1_fail.yaml
2,2026-09-02T14:02:45.016,126,0,2,fail,,,,"move_cart failed: MoveCart error 112 (target=[-1091.7, 892.1000000000001, 384.09999999999997, 178.70000000000002, 0.30000000000000027, 53.9])",002_tag126_attempt2_fail.yaml
3,2026-09-02T14:03:13.162,127,0,1,ok,2.117004998186602,-1.4191903033377553,0.037628706218289926,,003_tag127_attempt1_ok.yaml
4,2026-09-02T14:03:26.754,128,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),004_tag128_attempt1_fail.yaml
5,2026-09-02T14:03:30.251,128,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),005_tag128_attempt2_fail.yaml
6,2026-09-02T14:03:51.038,129,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 3 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),006_tag129_attempt1_fail.yaml
7,2026-09-02T14:03:58.746,129,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),007_tag129_attempt2_fail.yaml
8,2026-09-02T14:03:58.787,130,1,1,fail,,,,base nav to path_tag_id=130 failed,008_tag130_attempt1_fail.yaml
9,2026-09-02T14:03:58.822,130,1,2,fail,,,,base nav to path_tag_id=130 failed,009_tag130_attempt2_fail.yaml
10,2026-09-02T14:03:58.848,131,1,1,fail,,,,base nav to path_tag_id=131 failed,010_tag131_attempt1_fail.yaml
11,2026-09-02T14:03:58.872,131,1,2,fail,,,,base nav to path_tag_id=131 failed,011_tag131_attempt2_fail.yaml
12,2026-09-02T14:03:58.914,132,1,1,fail,,,,base nav to path_tag_id=132 failed,012_tag132_attempt1_fail.yaml
13,2026-09-02T14:03:58.950,132,1,2,fail,,,,base nav to path_tag_id=132 failed,013_tag132_attempt2_fail.yaml
14,2026-09-02T14:03:58.988,133,2,1,fail,,,,base nav to path_tag_id=133 failed,014_tag133_attempt1_fail.yaml
15,2026-09-02T14:03:59.018,133,2,2,fail,,,,base nav to path_tag_id=133 failed,015_tag133_attempt2_fail.yaml
16,2026-09-02T14:03:59.060,134,2,1,fail,,,,base nav to path_tag_id=134 failed,016_tag134_attempt1_fail.yaml
17,2026-09-02T14:03:59.094,134,2,2,fail,,,,base nav to path_tag_id=134 failed,017_tag134_attempt2_fail.yaml
18,2026-09-02T14:03:59.126,135,2,1,fail,,,,base nav to path_tag_id=135 failed,018_tag135_attempt1_fail.yaml
