idx,cmd_x_m,cmd_y_m,cmd_h_m,flange_x_mm,flange_y_mm,flange_z_mm,flange_rx,flange_ry,flange_rz,lens_x_m,lens_y_m,lens_h_m,err_x_mm,err_y_mm,err_xy_mm,err_h_mm,tilt_deg,nearest_tag,tag_centre_dpx_x,tag_centre_dpx_y,hand_tags,hand_rms_px,note
1,0.85,0.0,0.5,-580.719,415.378,12.102,179.805,-0.330,-0.043,0.86380,-0.00160,0.50253,13.80,-1.60,13.90,2.53,1.191,300,-6.1,-5.0,300 301 302 303,0.76,ok
2,1.0,0.0,0.5,-577.159,565.333,11.262,179.805,-0.330,-0.043,1.00943,0.01181,0.50525,9.43,11.81,15.11,5.25,1.503,301,-0.8,-5.7,301 303,0.26,ok
3,0.85,0.15,0.5,-430.775,411.830,14.160,179.805,-0.330,-0.043,0.85960,0.14513,0.50215,9.60,-4.87,10.76,2.15,0.750,302,-2.0,-4.7,300 301 302 303 304 305,0.94,ok
4,1.0,0.15,0.5,-427.216,561.785,13.319,179.805,-0.330,-0.043,1.00358,0.14233,0.50234,3.58,-7.67,8.46,2.34,1.156,303,3.4,-4.9,300 301 303 305,1.37,ok
5,0.85,0.3,0.5,-280.832,408.282,16.217,179.805,-0.330,-0.043,0.85796,0.29878,0.50377,7.96,-1.22,8.05,3.77,0.797,304,4.6,-3.5,302 303 304 305 306 307,0.91,ok
6,1.0,0.3,0.5,-277.272,558.237,15.377,179.805,-0.330,-0.043,1.01090,0.28757,0.50419,10.90,-12.43,16.53,4.19,2.371,305,9.0,-3.4,302 303 304 305 307,1.86,ok
7,0.85,0.45,0.5,-130.888,404.734,18.275,179.805,-0.330,-0.043,0.84736,0.45869,0.50448,-2.64,8.69,9.08,4.48,0.458,306,13.4,0.2,304 305 306 307 308 309,1.76,ok
8,1.0,0.45,0.5,-127.328,554.689,17.434,179.805,-0.330,-0.043,0.99613,0.44313,0.50641,-3.87,-6.87,7.89,6.41,2.270,307,15.8,-0.2,304 305 306 307 308 309,1.90,ok
9,0.85,0.6,0.5,19.056,401.185,20.332,179.805,-0.330,-0.043,0.82979,0.60507,0.50522,-20.21,5.07,20.83,5.22,2.273,308,22.4,6.9,306 308 309,1.73,ok
10,1.0,0.6,0.5,22.616,551.141,19.492,179.805,-0.330,-0.043,0.98415,0.60053,0.50941,-15.85,0.53,15.86,9.41,2.500,309,22.8,5.0,306 307 308 309,0.73,ok
