idx,cmd_x_m,cmd_y_m,cmd_h_m,flange_x_mm,flange_y_mm,flange_z_mm,flange_rx,flange_ry,flange_rz,lens_x_m,lens_y_m,lens_h_m,err_x_mm,err_y_mm,err_xy_mm,err_h_mm,tilt_deg,nearest_tag,tag_centre_dpx_x,tag_centre_dpx_y,hand_tags,hand_rms_px,note
1,0.85,0.0,0.4,-590.215,416.049,-88.128,179.831,-0.340,-1.930,0.84695,0.00590,0.40338,-3.05,5.90,6.65,3.38,1.616,300,-6.3,-4.0,300 302,0.34,ok
2,1.0,0.0,0.4,-586.633,566.004,-88.968,179.831,-0.340,-1.930,1.00729,0.00775,0.40279,7.29,7.75,10.64,2.79,1.185,301,0.3,-5.2,301 303,0.30,ok
3,0.85,0.3,0.4,-290.3276906628413,408.91022506569436,-84.01321379325353,179.8305674918271,-0.3404977171479598,-1.9300248849404331,,,,,,,,,,,,,,"move failed: move_cart: no completion within 60.0s (arm busy with a scan, or arm_node down?); target=[-290.3276906628413, 408.91022506569436, -84.01321379325353, 179.8305674918271, -0.3404977171479598, -1.9300248849404331]"
4,1.0,0.3,0.4,-286.747,558.865,-84.853,179.831,-0.340,-1.930,1.00414,0.30182,0.40280,4.14,1.82,4.52,2.80,0.881,305,11.4,-2.6,303 305 307,0.98,ok
5,0.85,0.6,0.4,9.559134267832496,401.77175917404736,-79.89803651682124,179.8305674918271,-0.3404977171479598,-1.9300248849404331,,,,,,,,,,,,,,hand_cam: hand_cam: no detection frames on /hand_cam/tag_detections
6,1.0,0.6,0.4,13.14016859390276,551.7266539699079,-80.73813804465709,179.8305674918271,-0.3404977171479598,-1.9300248849404331,,,,,,,,,,,,,,move failed: move_j_to_pose: shutdown
