tag,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,off_x_mm,off_y_mm,range_m,dpx_x,dpx_y,tilt_deg,cam_over_tag_x_mm,cam_over_tag_y_mm,cam_rx_deg,cam_ry_deg,cam_rz_deg,note
300,-578.22,415.05,12.96,-179.97,0.61,-0.04,-13.4,-6.8,0.5039,-16.4,-8.3,1.62,13.4,-1.2,-1.41,0.80,91.9,seen; hand [300 301 302 303] rms 0.76 px; reconstructed from the terminal — the run crashed at tag 308 (front_cam lost tag 200) before the CSV was written
301,-574.86,565.02,12.66,-179.97,0.61,-0.04,-9.1,-7.5,0.5070,-11.3,-9.0,2.52,13.6,12.0,-2.41,0.73,91.9,seen; hand [301 303] rms 0.26 px (2 tags — weak pose)
302,-428.26,411.69,12.54,-179.97,0.61,-0.04,-10.0,-6.7,0.5012,-12.1,-8.2,0.77,10.7,-5.2,-0.58,0.50,91.9,seen; hand [300 301 302 303 304 305] rms 0.92 px
303,-424.90,561.66,12.24,-179.97,0.61,-0.04,-8.2,-7.2,0.5010,-7.1,-8.4,6.12,44.7,-46.1,4.32,4.34,92.6,seen; hand [300 301 303 305] rms 3.47 px — BAD PnP (tilt/position not usable; centre offset is)
304,-278.29,408.33,12.13,-179.97,0.61,-0.04,-4.5,-5.9,0.5005,-5.5,-7.2,0.59,10.4,-2.6,-0.24,0.54,91.9,seen; hand [302 303 304 305 306 307] rms 0.85 px
305,-274.93,558.30,11.83,-179.97,0.61,-0.04,-1.0,-5.9,0.5012,-1.3,-7.1,1.29,17.0,-2.9,0.19,1.27,92.1,seen; hand [302 303 305 307] rms 1.76 px
306,-128.33,404.97,11.71,-179.97,0.61,-0.04,3.0,-2.9,0.4989,3.5,-3.6,0.21,3.9,4.5,-0.18,0.10,91.9,seen; hand [304 305 306 307 308 309] rms 1.14 px
307,-124.97,554.93,11.41,-179.97,0.61,-0.04,4.5,-3.4,0.5012,5.6,-4.1,1.03,-3.3,-1.4,0.67,-0.78,91.9,seen; hand [304 305 307 309] rms 1.42 px
308,21.63,401.61,11.30,-179.97,0.61,-0.04,,,,,,,,,,,,moved but not measured — front_cam lost tag 200 (arm occlusion) and the drift check raised
