seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-08T12:08:31.321,126,0,1,fail,,,,auto_align: tag A (id=0) not detected at iteration 1 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),001_tag126_attempt1_fail.yaml
2,2026-09-08T12:08:57.641,126,0,2,fail,,,,auto_align: tag A (id=0) not detected at iteration 3 — adjust initial pose (tag 0 not detected on /hand_cam/tag_detections within 3.0s),002_tag126_attempt2_fail.yaml
3,2026-09-08T12:09:36.335,127,0,1,ok,2.1966060245863703,-1.4463624459494842,-0.08323665431941277,,003_tag127_attempt1_ok.yaml
4,2026-09-08T12:10:08.150,128,0,1,ok,2.1978051426094414,-1.0487274905885198,-0.06596862318523546,,004_tag128_attempt1_ok.yaml
5,2026-09-08T12:10:39.017,129,0,1,ok,2.2028858676004077,-0.6515267225228769,-0.06669870014961939,,005_tag129_attempt1_ok.yaml
6,2026-09-08T12:11:13.262,130,1,1,ok,2.199084766548719,-0.24869984341752557,-0.07840769228143049,,006_tag130_attempt1_ok.yaml
7,2026-09-08T12:11:46.436,131,1,1,ok,2.2029973672068524,0.15085568117667134,-0.08566057074047313,,007_tag131_attempt1_ok.yaml
8,2026-09-08T12:12:17.127,132,1,1,ok,2.204246552559992,0.5503563157894472,-0.06775961916306374,,008_tag132_attempt1_ok.yaml
9,2026-09-08T12:12:51.150,133,2,1,ok,2.2001392601478864,0.9499872623619621,-0.07272091624340851,,009_tag133_attempt1_ok.yaml
10,2026-09-08T12:13:22.785,134,2,1,ok,2.2026566539278747,1.3481511293866733,-0.07574475738652615,,010_tag134_attempt1_ok.yaml
11,2026-09-08T12:13:53.769,135,2,1,ok,2.203300112348381,1.7493312200423254,-0.05647310272718349,,011_tag135_attempt1_ok.yaml
12,2026-09-08T12:14:24.561,136,2,1,ok,2.2035717496553833,2.1547466554051464,-0.062173002716179655,,012_tag136_attempt1_ok.yaml
13,2026-09-08T12:14:58.481,137,2,1,ok,2.2106109866878727,2.5592952165685405,-0.052670996345440924,,013_tag137_attempt1_ok.yaml
14,2026-09-08T12:18:17.669,138,3,1,ok,5.619044726044129,1.8581631649548394,-0.07657175015723997,,014_tag138_attempt1_ok.yaml
15,2026-09-08T12:18:56.228,139,3,1,ok,5.612629731053195,1.4584998069278305,-0.0940491585753214,,015_tag139_attempt1_ok.yaml
16,2026-09-08T12:19:25.109,140,3,1,ok,5.608873010721625,1.0594406523486262,-0.07917407659767754,,016_tag140_attempt1_ok.yaml
17,2026-09-08T12:19:53.589,141,3,1,ok,5.609254977214601,0.659650523846915,-0.08475882460672744,,017_tag141_attempt1_ok.yaml
18,2026-09-08T12:20:23.104,142,4,1,ok,5.617726353685176,0.25465160273051546,-0.10171648071810843,,018_tag142_attempt1_ok.yaml
19,2026-09-08T12:20:53.541,143,4,1,ok,5.614643686760824,-0.14151207070234345,-0.08827127706761538,,019_tag143_attempt1_ok.yaml
20,2026-09-08T12:21:24.505,144,4,1,ok,5.61425396228587,-0.5402999880873801,-0.0818924396468033,,020_tag144_attempt1_ok.yaml
21,2026-09-08T12:21:57.254,145,5,1,ok,5.620666948381832,-0.9403365686987778,-0.04445071680500055,,021_tag145_attempt1_ok.yaml
22,2026-09-08T12:22:42.576,146,5,1,ok,5.614643098957719,-1.339836916827552,-0.06719337354871101,,022_tag146_attempt1_ok.yaml
23,2026-09-08T12:23:12.000,147,5,1,ok,5.616175571403332,-1.7387999315458975,-0.06156463147424866,,023_tag147_attempt1_ok.yaml
24,2026-09-08T12:23:43.016,148,5,1,ok,5.616878384021216,-2.144105936677715,-0.06671397466087431,,024_tag148_attempt1_ok.yaml
25,2026-09-08T12:24:16.381,149,5,1,ok,5.611548788467716,-2.5509455730465103,-0.03949860510675479,,025_tag149_attempt1_ok.yaml
26,2026-09-08T12:25:00.115,150,5,1,ok,5.603510859700511,-2.9594907392123737,-0.04681977276168837,,026_tag150_attempt1_ok.yaml
