target_line,group_id,point_id,x,y,z,rx,ry,rz,speed,is_discontinuous,coordinate_frame,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,106,1,0.0037166420848413484,-0.28586494163348175,0.34507624629652933,-1.5706645034461153,-0.029217719133221021,3.1370802817754595,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,2,-0.026264254860165259,-0.28588179044089146,0.34534324358931917,-1.5706227534619275,-0.027531909964522372,3.135287498418319,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,3,-0.056245152036004331,-0.28589864072474447,0.34561018039082003,-1.570587054111571,-0.025845981016354047,3.1334950150072745,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,4,-0.086221928057550912,-0.2858952832662297,0.34587593384061138,-1.5705265808073925,-0.026181298298876055,3.1312888381416135,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,5,-0.11619555985256191,-0.28587650956666083,0.34614074012542662,-1.5704364694616468,-0.028058441536076062,3.1287663947266524,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,6,-0.14616919235418924,-0.28585773925836117,0.34640544769226134,-1.5703368763394554,-0.029935044507568787,3.126243318604419,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,7,-0.17614282593570674,-0.28583897261945618,0.34667005655443955,-1.5702278008962467,-0.031811050046145706,3.1237195778212281,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,8,-0.20610869607463278,-0.28582718903333826,0.34720498960906415,-1.5701150930861552,-0.032988075179663845,3.1209409328363646,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,9,-0.23606432527268328,-0.28582461519265318,0.3480965397908472,-1.5700062649656452,-0.033243247704538348,3.1178266618845596,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,10,-0.26601995660713085,-0.28582204479600221,0.34898799263044722,-1.5698958468953688,-0.033497717640727176,3.1147122659243136,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,11,-0.29597559053241707,-0.28581947788097661,0.34987934813984956,-1.5697838437915337,-0.033751473853721237,3.1115977593756794,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,12,-0.28990112102086618,-0.25581734910183446,0.34847660235934619,-1.5696896404928224,-0.033961631369928025,3.1090115383086872,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,13,-0.25996780730524649,-0.25582175607549118,0.34758602231363012,-1.569883335641415,-0.033526278109642149,3.1143621704503053,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,14,-0.23003450138678083,-0.25582617333700314,0.34669515501951798,-1.570072354513365,-0.03308881474466463,3.1197124810010122,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,15,-0.20008964448747202,-0.25584504286615439,0.34612988346388784,-1.5702641223999252,-0.031204265357929861,3.1245360365883417,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,16,-0.17013409768143428,-0.25587728724816411,0.34586587539761543,-1.5704403908091447,-0.027980686569667901,3.1288709055241481,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,17,-0.14017471516942681,-0.25590499114367021,0.3456013164709939,-1.5705751702055535,-0.025210609335968748,3.1328195872930591,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,18,-0.11018485884912654,-0.25589656557559182,0.34533455905700794,-1.5705911237699837,-0.026053604941222552,3.1337157397970428,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,19,-0.080195002622185152,-0.25588814034309582,0.34506778651962222,-1.5706085897033466,-0.026896576473659728,3.1346119628823024,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,20,-0.050205146468274009,-0.25587971546530192,0.3448009988591304,-1.5706275681711688,-0.027739520585190691,3.1355082590607672,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,21,-0.020215290367064043,-0.25587129096132766,0.34453419607589486,-1.5706480593381436,-0.028582433927187401,3.1364046308444431,30,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
1,106,22,0.0016277815420058239,-0.225864835273586,0.34358489299158562,-1.5706647862316663,-0.029228361047955564,3.1370916004408302,10,0.000000000000000000e+00,zone_bc_work_m_v1,0,-1610,10,652,0
