group_id,point_id,robot_x,robot_y,robot_theta,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,world_x,world_y,world_z
105,38,-2.0,0.394193,89.7905,-145.9188,1523.4971,-354.2527,-179.7152,-2.1821,-0.0104,1.126358438,2.146316805,0.600164814
105,39,-2.0,0.394193,89.7905,-145.9571,1493.0236,-354.4708,-179.5436,-2.183,-0.0172,1.095881521,2.146329538,0.599920283
105,40,-2.0,0.394193,89.7905,-145.95,1462.667,-354.7783,-179.4222,-2.1895,-0.0225,1.065539956,2.14634287,0.599602992
105,41,-2.0,0.394193,89.7905,-145.9798,1432.0881,-355.1769,-179.1922,-2.2012,-0.0319,1.034906847,2.146373177,0.599183024
105,42,-2.0,0.394193,89.7905,-146.0008,1401.7876,-355.6564,-179.0841,-2.2074,-0.0357,1.004610434,2.146393573,0.598681243
105,43,-2.0,0.394193,89.7905,-146.0469,1371.1564,-356.199,-178.8232,-2.2247,-0.0468,0.973902458,2.14644065,0.598081589
105,44,-2.0,0.394193,89.7905,-146.0761,1340.8579,-356.8984,-178.7122,-2.2343,-0.0502,0.943598813,2.146467473,0.597378678
105,45,-2.0,0.394193,89.7905,-146.1346,1310.0978,-357.6654,-178.4128,-2.2581,-0.0639,0.912782283,2.146534414,0.596571968
105,46,-2.0,0.394193,89.7905,-146.1698,1279.7686,-358.6161,-178.2983,-2.2691,-0.0676,0.882466733,2.146567215,0.595644474
105,47,-2.0,0.394193,89.7905,-145.3591,1248.6201,-359.6231,-177.8546,-1.9721,-0.0745,0.851247442,2.145744003,0.594613588
105,48,-2.0,0.394193,89.7905,-143.4207,1217.8431,-360.7877,-177.5381,-1.2063,-0.0502,0.820391547,2.143611175,0.593407099
105,49,-2.0,0.394193,89.7905,-142.6912,1186.5104,-362.2932,-177.0353,-0.9439,-0.0496,0.789015139,2.142874874,0.591923526
105,50,-2.0,0.394193,89.7905,-142.8248,1156.1149,-363.8787,-176.8546,-0.9867,-0.0533,0.758558214,2.142989774,0.590297954
105,51,-2.0,0.394193,89.7905,-143.1555,1125.0277,-365.691,-176.4022,-1.1123,-0.0701,0.727365431,2.143342452,0.588416134
105,52,-2.0,0.394193,89.7905,-143.3197,1095.2858,-367.5904,-176.282,-1.1767,-0.0772,0.697609035,2.143521877,0.586467968
105,53,-2.0,0.394193,89.7905,-113.341,1096.3235,-366.9753,-176.2892,-1.1742,-0.07,0.698620799,2.113521877,0.58715257
105,54,-2.0,0.394193,89.7905,-113.0654,1126.9045,-365.0963,-176.5352,-1.0654,-0.0649,0.729221509,2.113217849,0.589127335
105,55,-2.0,0.394193,89.7905,-112.845,1157.7928,-363.3354,-176.8997,-0.9751,-0.0527,0.760185606,2.112967496,0.590912348
105,56,-2.0,0.394193,89.7905,-112.649,1188.5557,-361.7503,-177.2112,-0.9034,-0.0442,0.791010416,2.112765971,0.59252764
105,57,-2.0,0.394193,89.7905,-112.4678,1219.3311,-360.3414,-177.518,-0.8332,-0.0366,0.821833713,2.112569985,0.593940129
105,58,-2.0,0.394193,89.7905,-112.3274,1250.0049,-359.0161,-177.7609,-0.782,-0.0302,0.852498729,2.112423048,0.595238994
105,59,-2.0,0.394193,89.7905,-112.1933,1280.6616,-357.9539,-178.0307,-0.7271,-0.0244,0.883226989,2.112270003,0.596345023
105,60,-2.0,0.394193,89.7905,-112.1084,1311.1743,-356.8807,-178.2075,-0.6942,-0.0211,0.913713866,2.112177533,0.59737265
105,61,-2.0,0.394193,89.7905,-111.9766,1341.848,-356.0792,-178.4781,-0.6475,-0.0165,0.944452005,2.112045541,0.598224285
105,62,-2.0,0.394193,89.7905,-111.9287,1372.1603,-355.3113,-178.5976,-0.6289,-0.0153,0.974775631,2.111995815,0.599007492
105,63,-2.0,0.394193,89.7905,-111.8321,1402.8781,-354.6865,-178.8815,-0.5882,-0.0112,1.005560712,2.11188233,0.599645658
