target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,204,-1.741969326,-0.3536611781,1.001205719,-2.211320913,-1.550561963,-0.1712109625,0,1,150,task,30,0,-1610,50,652,0
1,132,205,-1.746124728,-0.3926406739,1.093553905,-2.262669052,-1.550825277,-0.1753647505,0,1,151,task,30,0,-1610,50,652,0
1,132,206,-1.750485272,-0.4283799483,1.179409194,-2.310762611,-1.551107372,-0.1797228543,0,1,152,task,30,0,-1610,50,652,0
1,132,207,-1.754967425,-0.4614066534,1.2580036,-2.352067661,-1.551704623,-0.1841962197,0,1,153,task,30,0,-1610,50,652,0
1,132,208,-1.759614787,-0.4923449837,1.331451962,-2.389055563,-1.55251623,-0.188826282,0,1,154,task,30,0,-1610,50,652,0
1,132,209,-1.764454972,-0.5219651187,1.399139799,-2.418639685,-1.553490976,-0.1936281622,0,1,155,task,30,0,-1610,50,652,0
1,132,210,-1.769526133,-0.5509087114,1.461973925,-2.441299583,-1.554556152,-0.1986254936,0,1,156,task,30,0,-1610,50,652,0
1,132,211,-1.775163882,-0.5783125138,1.52953341,-2.478516281,-1.554919874,-0.2042367271,0,1,157,task,30,0,-1610,50,652,0
1,132,212,-1.781121067,-0.6043727378,1.59485008,-2.514831737,-1.555331196,-0.2101639857,0,1,158,task,30,0,-1610,50,652,0
1,132,213,-1.78742568,-0.6291888263,1.658208069,-2.550430939,-1.555794282,-0.2164349453,0,1,159,task,30,0,-1610,50,652,0
1,132,214,-1.793815757,-0.6530414733,1.719568557,-2.584734517,-1.557025519,-0.2227807742,0,1,160,task,30,0,-1610,50,652,0
1,132,215,-1.799581879,-0.6765465672,1.778515406,-2.616120049,-1.56070708,-0.2284755965,0,1,161,task,30,0,-1610,50,652,0
1,132,216,-1.805707869,-0.6990912021,1.836157393,-2.647199464,-1.564456254,-0.2345242583,0,1,162,task,30,0,-1610,50,652,0
1,132,217,-1.812228743,-0.7206982177,1.892636496,-2.678096226,-1.568279125,-0.2409613765,0,1,163,task,30,0,-1610,50,652,0
1,132,218,-1.819184232,-0.741375643,1.948078213,-2.708932802,-1.572182552,-0.2478262473,0,1,164,task,30,0,-1610,50,652,0
1,132,219,-1.815585801,-0.7489814973,1.954665518,-2.699310458,-1.584415275,-0.2440537681,0,1,165,task,10,0,-1610,50,652,0
1,132,220,-1.804440107,-0.7508322918,1.964043375,-2.702963133,-1.532198756,-0.2332427891,0,1,166,task,10,0,-1610,50,652,0
1,132,221,-1.792820862,-0.729703047,1.908916702,-2.67559576,-1.539362695,-0.2216528246,0,1,167,task,30,0,-1610,50,652,0
1,132,222,-1.782497252,-0.7077828223,1.85303165,-2.648205511,-1.545427705,-0.2113739065,0,1,168,task,30,0,-1610,50,652,0
1,132,223,-1.77392212,-0.6851878592,1.796616545,-2.621139856,-1.549020242,-0.2028618171,0,1,169,task,30,0,-1610,50,652,0
1,132,224,-1.765842989,-0.6617053803,1.738947896,-2.593629961,-1.552756078,-0.1948367542,0,1,170,task,30,0,-1610,50,652,0
1,132,225,-1.759087451,-0.6378642601,1.678586583,-2.561599416,-1.554432234,-0.1881189909,0,1,171,task,30,0,-1610,50,652,0
1,132,226,-1.75351776,-0.6134331232,1.615350359,-2.525258352,-1.554093242,-0.1825750552,0,1,172,task,30,0,-1610,50,652,0
1,132,227,-1.748260922,-0.5877583623,1.550214951,-2.488258598,-1.553795366,-0.1773413717,0,1,173,task,30,0,-1610,50,652,0
