group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous
103,1,-0.914855699541423,-0.007281271549638,1.72030554655802,-3.89858068515182,-1.64114091076522,0.549030244262545,1
103,2,2.69461857615852,-3.35948853085961,-1.20347312338556,-2.11128696614882,-0.704181601811061,-2.78234211619221,1
103,3,2.75941545590824,-3.2082773457372,-1.32449105247677,-2.70489762380397,-0.874598507626186,-2.26509904195914,0
103,4,-0.909443323446831,-0.27030023962928,1.80191051790244,-3.14909477877583,-1.59606081657088,0.660531235315232,1
103,5,-0.910287597304672,0.139614139061681,1.37112872427757,-1.05276871495768,1.90881408894674,-2.85711408817243,0
103,6,-0.956250407729242,0.181765167036877,1.3365180302819,-1.23968651342448,1.85537895959102,-2.97423592460593,1
103,7,-1.09830632334041,-0.354286706361209,1.76892219677098,-3.15865736473621,-1.44155076440184,0.474439906906193,0
103,8,-1.09514212663791,-0.248296219992559,1.82049065387615,-3.49079239121913,-1.4210467172877,0.462302568872935,0
103,9,-1.09173407100127,-0.051705955048232,1.76979432693873,-3.88713552804894,-1.41836643207949,0.426734139362867,0
103,10,-1.06614968681281,-0.032356100914701,1.78238245595726,-3.91275049056552,-1.44852478737628,0.447523036222209,1
103,11,-1.14867204051466,-0.012071126173356,1.60664648239245,-0.991047532451874,1.26669537841956,-2.84841355356853,0
103,12,-1.09814431280446,0.190057532976143,1.40591271082998,-1.29047884747886,1.49941141689616,-2.98355056985497,1
103,13,-0.962404099606861,-0.210884575618931,1.50118864659515,0.016716427943176,1.58730133791502,-2.55233998181319,1
103,14,-0.980790002410027,0.064961233052327,1.5604695980608,-1.00901995809238,1.64196955706891,-2.78427819705254,0
103,15,-0.943541947291396,0.006197043712256,1.57900432526711,-0.830131106848418,1.69248248055842,-2.7020931245025,0
103,16,2.6361777792345,-3.14725223466601,-1.60644180290778,-2.35177260764886,-1.19900313173128,-2.37631290601679,1
103,17,2.55194178540657,-2.91816186881684,-1.44045939789166,-3.40879257695487,-1.51352320440737,-2.16582752092358,1
103,18,2.44650722267433,-3.19223307842858,-1.5800320638667,-2.06001788522058,-1.51196537863502,-2.6083133486556,0
103,19,2.40720569453063,-3.20032298370089,-1.55491887662045,-2.00305049544586,-1.54118601731095,-2.68396007645852,0
103,20,2.421276706672,-3.05164200011583,-1.63843725581562,-2.26337579057933,-1.55233178780904,-2.53326217166685,0
103,21,2.4382081519092,-2.91391492812529,-1.60843342400585,-2.71404591770017,-1.52332417679973,-2.39129837246803,0
103,22,2.4073948993233,-2.87099029199885,-1.5518778508223,-2.90994135217435,-1.56753356316226,-2.37703135058192,0
103,23,2.37161919684521,-2.83868883142802,-1.38163034137232,-3.36398621031698,-1.63427119607599,-2.3493880662469,1
103,24,-1.2064629168951,-0.211114796658751,1.81620473324294,-3.54963068147121,-1.3370042849987,0.360918099866911,1
103,25,2.37011526144729,-2.91194498452395,-1.60244128640814,-2.71920584904721,-1.59147378811246,-2.43874057443909,1
103,26,2.30635767748366,-3.15676809939322,-1.55405837629216,-2.0679190294169,-1.6782970507561,-2.69936304421579,0
103,27,2.29889062978772,-3.23358089332179,-1.50344774164879,-1.9694545353999,-1.70526996034407,-2.74836257451556,0
103,28,2.41854815064452,-3.05709318548486,-1.6375083135789,-2.38554524049443,-1.5631838489919,-2.46517199075727,1
103,29,2.49547709068834,-2.91521972496705,-1.41495943598219,-3.48158370314449,-1.53591150051986,-2.21816860708572,1
103,30,2.4724054990967,-3.34072816075179,-1.48084812594327,-1.84499074146848,-1.31297678785358,-2.78474662623438,0
103,31,2.55587049617436,-3.13566969039041,-1.64243542733051,-2.29136432435359,-1.30746999791766,-2.43220240279418,0
103,32,2.45190454379959,-3.12876872642847,-1.66655389546749,-2.22776400131096,-1.46185265890329,-2.4987750051864,1
103,33,2.45228162588513,-2.90849951111322,-1.48293904221326,-3.32498599081861,-1.53104298413602,-2.26806457901069,0
103,34,2.4188433512041,-2.9183000308417,-1.398722192549,-3.45211251692859,-1.54643364110707,-2.29692020384226,1
103,35,2.24755349477533,-3.2076908044807,-1.508769857915,-2.05964316461197,-1.76170378952992,-2.72065668733864,0
103,36,2.21197362421091,-3.19938723226378,-1.4871926435204,-2.05013303513485,-1.81491830997984,-2.75723249419672,0
103,37,2.26322166100544,-3.00051656770523,-1.59945012710406,-2.43044607594777,-1.73217135016276,-2.57710177386299,1
103,38,2.12101231820313,-3.276054804103,-1.3802991501949,-2.03206256287012,-1.96735452660655,-2.81127537651268,1
103,39,2.36396638694746,-2.92204708861121,-1.3762165027496,-3.47564239789512,-1.55084205319609,-2.35132298078034,0
103,40,2.38901681679131,-2.90717681658452,-1.4659710340633,-3.34568194097997,-1.55244366523609,-2.3296615988042,1
103,41,2.31734802659551,-3.16117775586519,-1.64098256766342,-2.12284430707546,-1.65402922466714,-2.60883952222885,0
103,42,2.34302172514072,-3.10755027851623,-1.6718449132218,-2.24408106050524,-1.62635470221797,-2.54074871054077,0
103,43,2.23068572754398,-3.08369898870561,-1.64963003797979,-2.31640390841155,-1.79127493964719,-2.57901137918182,1
103,44,2.31425472844652,-2.90686844625231,-1.48793441934224,-3.24339572056003,-1.59632849688144,-2.40825734189553,0
103,45,2.30832454289114,-2.93012229452204,-1.33052869049196,-3.53763200825333,-1.55517035221037,-2.40564088779982,1
103,46,-1.48651919510268,0.035167119987981,0.530587194188818,-2.1902108646917,-1.10970563282816,0.094118145064441,0
103,47,-1.48707908515206,-0.02393858458613,0.680617065603411,-2.28237667950238,-1.09871854269451,0.094014163230773,0
103,48,2.12173162940409,-3.27185140533984,-1.64234897468673,0.925996344636807,1.92422959927167,0.522457179911347,0
103,49,2.11859549406155,-3.30125986440821,-1.62484866338065,0.963457372016055,1.94974484993077,0.522544255318815,0
103,50,-1.61640902818388,0.170929711407559,0.528018275068096,-2.23952822728544,-0.53422970044581,-0.089617479729238,0
103,51,-1.61405777238834,0.243336326566949,0.334882549158035,-2.11440206401136,-0.543834570269159,-0.083596031459073,1
104,1,-0.787518024611468,0.053955811813344,1.48976892998695,-0.659328791564953,2.12698006599638,-2.56422254415764,0
104,2,2.83670801553024,-3.24501166469221,-1.44775495521016,-2.82206904533414,-0.770621533798831,-2.02282996041564,1
104,3,-1.09155195198512,-0.034134259575323,1.7579333165466,-0.859866890514577,1.81833847594703,-2.78254508284837,0
104,4,-1.13480610668924,0.202137974160668,1.55618994888575,-1.45698515922227,1.88747547824249,-3.01524721443849,1
104,5,-1.14380656476592,0.177978767445565,1.57375029555881,-1.48954742778032,1.88568325993251,-3.03351102815289,0
104,6,-1.1464642833766,-0.216736756095895,1.85646782651921,-0.681637214297206,1.71126439654393,-2.79598012441286,1
104,7,-1.17350700250017,-0.284565447088665,1.84244475018433,-0.514034770716867,1.66525703406199,-2.79854572585178,0
104,8,-1.22634548892653,-0.421934887794204,1.64662391442941,0.318043569279827,1.53992315672115,-2.79705155616906,1
104,9,-1.27775834222813,-0.119149565131829,2.06348431593144,-3.98449290184409,-1.53009464750813,0.264502730530759,1
104,10,-1.25062765628951,-0.018387634584014,2.02777135991574,-4.13216900210326,-1.57511205464112,0.274973331198384,0
104,11,-1.19989664035909,0.177603561100397,1.8524652104694,-4.37239084294823,-1.69943329999938,0.265436570838036,0
104,12,-1.19400116625257,0.192135905157014,1.59183374806503,-1.51370643316849,1.83520713157361,-3.04270187565969,1
104,13,-1.18645777223298,0.216415248726987,1.57478353086065,-1.4823623003899,1.83502835565714,-3.02676217946397,0
104,14,-1.21724252860672,-0.045917324381409,1.83219638193894,-0.901630609567425,1.70840080506511,-2.86940477083716,1
104,15,2.49462698742886,-3.36905787652295,-1.56861730554532,-1.72080272447862,-0.796509525020821,-2.84295239609137,1
104,16,2.47896648598326,-3.34113721316272,-1.58933433776976,-1.68231810964018,-0.79180894478287,-2.88227844743809,0
104,17,2.44277749382443,-2.92264604441389,-1.90870556538146,-2.50988699429689,-1.26786208695823,-2.39850224781961,1
104,18,2.36550608501416,-2.84681531204357,-1.90581888911844,-2.61857617556564,-1.40108259478541,-2.43892284824006,0
104,19,2.29092550577013,-2.73655004027417,-1.80883852988281,-3.05001943673797,-1.54841591799964,-2.44107914555724,0
