target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,1,-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0,0,0,,home,30,0,-1610,10,652,0
1,132,2,-1.590467348,-1.472028691,1.488051645,-1.587120274,-1.572623222,-0.01967626951,0,0,,transition,10,0,-1610,10,652,0
1,132,3,-1.610134696,-1.373257383,1.405303291,-1.603440547,-1.574446444,-0.03935253902,0,0,,transition,10,0,-1610,10,652,0
1,132,4,-1.629802044,-1.274486074,1.322554936,-1.619760821,-1.576269666,-0.05902880852,0,0,,transition,10,0,-1610,10,652,0
1,132,5,-1.649469392,-1.175714766,1.239806582,-1.636081095,-1.578092888,-0.07870507803,0,0,,transition,10,0,-1610,10,652,0
1,132,6,-1.66913674,-1.076943457,1.157058227,-1.652401368,-1.57991611,-0.09838134754,0,0,,transition,10,0,-1610,10,652,0
1,132,7,-1.688804088,-0.9781721488,1.074309872,-1.668721642,-1.581739332,-0.118057617,0,0,,transition,10,0,-1610,10,652,0
1,132,8,-1.708471437,-0.8794008403,0.9915615179,-1.685041916,-1.583562554,-0.1377338866,0,0,,transition,10,0,-1610,10,652,0
1,132,9,-1.728138785,-0.7806295318,0.9088131633,-1.701362189,-1.585385776,-0.1574101561,0,0,,transition,10,0,-1610,10,652,0
1,132,10,-1.747806133,-0.6818582232,0.8260648087,-1.717682463,-1.587208998,-0.1770864256,0,0,,transition,10,0,-1610,10,652,0
1,132,11,-1.767473481,-0.5830869147,0.7433164541,-1.734002737,-1.58903222,-0.1967626951,0,0,,transition,10,0,-1610,10,652,0
1,132,12,-1.787140829,-0.4843156062,0.6605680995,-1.75032301,-1.590855442,-0.2164389646,0,0,,transition,10,0,-1610,10,652,0
1,132,13,-1.806808177,-0.3855442977,0.5778197449,-1.766643284,-1.592678664,-0.2361152341,0,0,,transition,10,0,-1610,10,652,0
1,132,14,-1.826475525,-0.2867729891,0.4950713903,-1.782963558,-1.594501886,-0.2557915036,0,0,,transition,10,0,-1610,10,652,0
1,132,15,-1.846142873,-0.1880016806,0.4123230357,-1.799283832,-1.596325108,-0.2754677731,0,0,,transition,10,0,-1610,10,652,0
1,132,16,-1.865810221,-0.08923037207,0.3295746812,-1.815604105,-1.59814833,-0.2951440426,0,0,,transition,10,0,-1610,10,652,0
1,132,17,-1.885477569,0.009540936457,0.2468263266,-1.831924379,-1.599971552,-0.3148203121,0,1,1,task,30,0,-1610,10,652,0
